dataset,from_label,from_behavior,to_label,to_behavior,count,probability
cvb,0,Standing,0,Standing,31,0.4921
cvb,0,Standing,1,Lying,2,0.0317
cvb,0,Standing,2,Foraging,7,0.1111
cvb,0,Standing,4,Ruminating,7,0.1111
cvb,0,Standing,5,Grooming,5,0.0794
cvb,0,Standing,6,Other,11,0.1746
cvb,1,Lying,0,Standing,2,0.0206
cvb,1,Lying,1,Lying,30,0.3093
cvb,1,Lying,2,Foraging,3,0.0309
cvb,1,Lying,4,Ruminating,60,0.6186
cvb,1,Lying,6,Other,2,0.0206
cvb,2,Foraging,0,Standing,7,0.0526
cvb,2,Foraging,1,Lying,2,0.015
cvb,2,Foraging,2,Foraging,62,0.4662
cvb,2,Foraging,3,Drinking,4,0.0301
cvb,2,Foraging,4,Ruminating,1,0.0075
cvb,2,Foraging,5,Grooming,2,0.015
cvb,2,Foraging,6,Other,55,0.4135
cvb,3,Drinking,2,Foraging,4,0.1667
cvb,3,Drinking,3,Drinking,2,0.0833
cvb,3,Drinking,5,Grooming,1,0.0417
cvb,3,Drinking,6,Other,17,0.7083
cvb,4,Ruminating,0,Standing,10,0.1124
cvb,4,Ruminating,1,Lying,56,0.6292
cvb,4,Ruminating,4,Ruminating,20,0.2247
cvb,4,Ruminating,6,Other,3,0.0337
cvb,5,Grooming,0,Standing,4,0.1739
cvb,5,Grooming,2,Foraging,7,0.3043
cvb,5,Grooming,3,Drinking,1,0.0435
cvb,5,Grooming,6,Other,11,0.4783
cvb,6,Other,0,Standing,14,0.1284
cvb,6,Other,1,Lying,3,0.0275
cvb,6,Other,2,Foraging,56,0.5138
cvb,6,Other,3,Drinking,16,0.1468
cvb,6,Other,4,Ruminating,1,0.0092
cvb,6,Other,5,Grooming,14,0.1284
cvb,6,Other,6,Other,5,0.0459
