dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
cbvd5,341,kf4_inst90a175,0,Standing,0.0,0.0
cbvd5,341,kf4_inst90a175,1,Lying,0.0,0.0
cbvd5,341,kf4_inst90a175,2,Foraging,0.64,100.0
cbvd5,341,kf4_inst90a175,3,Drinking,0.0,0.0
cbvd5,341,kf4_inst90a175,4,Ruminating,0.0,0.0
cbvd5,341,kf4_inst90a175,5,Grooming,0.0,0.0
cbvd5,341,kf4_inst90a175,6,Other,0.0,0.0
cbvd5,341,kf4_inst97a010,0,Standing,0.0,0.0
cbvd5,341,kf4_inst97a010,1,Lying,0.0,0.0
cbvd5,341,kf4_inst97a010,2,Foraging,0.0,0.0
cbvd5,341,kf4_inst97a010,3,Drinking,0.0,0.0
cbvd5,341,kf4_inst97a010,4,Ruminating,0.64,100.0
cbvd5,341,kf4_inst97a010,5,Grooming,0.0,0.0
cbvd5,341,kf4_inst97a010,6,Other,0.0,0.0
cbvd5,341,kf4_instc94d62,0,Standing,0.0,0.0
cbvd5,341,kf4_instc94d62,1,Lying,0.0,0.0
cbvd5,341,kf4_instc94d62,2,Foraging,0.64,100.0
cbvd5,341,kf4_instc94d62,3,Drinking,0.0,0.0
cbvd5,341,kf4_instc94d62,4,Ruminating,0.0,0.0
cbvd5,341,kf4_instc94d62,5,Grooming,0.0,0.0
cbvd5,341,kf4_instc94d62,6,Other,0.0,0.0
cbvd5,341,kf4_instd00d7c,0,Standing,0.0,0.0
cbvd5,341,kf4_instd00d7c,1,Lying,0.0,0.0
cbvd5,341,kf4_instd00d7c,2,Foraging,0.0,0.0
cbvd5,341,kf4_instd00d7c,3,Drinking,0.0,0.0
cbvd5,341,kf4_instd00d7c,4,Ruminating,0.64,100.0
cbvd5,341,kf4_instd00d7c,5,Grooming,0.0,0.0
cbvd5,341,kf4_instd00d7c,6,Other,0.0,0.0
cbvd5,341,kf4_instfc0f3c,0,Standing,0.64,100.0
cbvd5,341,kf4_instfc0f3c,1,Lying,0.0,0.0
cbvd5,341,kf4_instfc0f3c,2,Foraging,0.0,0.0
cbvd5,341,kf4_instfc0f3c,3,Drinking,0.0,0.0
cbvd5,341,kf4_instfc0f3c,4,Ruminating,0.0,0.0
cbvd5,341,kf4_instfc0f3c,5,Grooming,0.0,0.0
cbvd5,341,kf4_instfc0f3c,6,Other,0.0,0.0
cbvd5,341,kf5_inst36af17,0,Standing,0.0,0.0
cbvd5,341,kf5_inst36af17,1,Lying,0.0,0.0
cbvd5,341,kf5_inst36af17,2,Foraging,0.64,100.0
cbvd5,341,kf5_inst36af17,3,Drinking,0.0,0.0
cbvd5,341,kf5_inst36af17,4,Ruminating,0.0,0.0
cbvd5,341,kf5_inst36af17,5,Grooming,0.0,0.0
cbvd5,341,kf5_inst36af17,6,Other,0.0,0.0
cbvd5,341,kf5_instc09d3a,0,Standing,0.64,100.0
cbvd5,341,kf5_instc09d3a,1,Lying,0.0,0.0
