experiment,split,macro_f1,f1_standing,f1_lying,f1_foraging,f1_drinking,f1_ruminating,f1_grooming,f1_other,prec_standing,prec_lying,prec_foraging,prec_drinking,prec_ruminating,prec_grooming,prec_other,rec_standing,rec_lying,rec_foraging,rec_drinking,rec_ruminating,rec_grooming,rec_other
videomae_combined_v1,val,0.753655,0.870128,0.822918,0.980261,0.875841,0.771527,0.722222,0.232687,0.891156,0.847077,0.978748,0.826790,0.771872,0.799180,0.184480,0.850068,0.800099,0.981778,0.931079,0.771181,0.658784,0.315000
videomae_cvb_v1,val,0.760656,0.860222,0.844874,0.978919,0.880952,0.800996,0.715385,0.243243,0.828414,0.879936,0.983929,0.896366,0.785920,0.830357,0.208185,0.894571,0.812500,0.973960,0.866060,0.816662,0.628378,0.292500
videomae_cbvd5_to_cvb_v1,val,0.168956,0.215349,0.281458,0.005785,0.187500,0.492598,0.000000,0.000000,0.133462,0.297432,0.210191,0.166498,0.394467,0.000000,0.000000,0.557268,0.267113,0.002933,0.214564,0.655718,0.000000,0.000000
videomae_cbvd5_v1,val,0.314932,0.905660,0.303030,0.895833,0.000000,0.100000,0.000000,0.000000,0.837209,0.625000,1.000000,0.000000,0.058824,0.000000,0.000000,0.986301,0.200000,0.811321,0.000000,0.333333,0.000000,0.000000
videomae_cvb_to_cbvd5_v1,val,0.178941,0.674699,0.145455,0.432432,0.000000,0.000000,0.000000,0.000000,0.602151,0.133333,0.761905,0.000000,0.000000,0.000000,0.000000,0.767123,0.160000,0.301887,0.000000,0.000000,0.000000,0.000000
videomae_cbvd5_v2,val,0.451127,0.801481,0.735372,0.916230,0.462500,0.242308,0.000000,0.000000,0.772857,0.652123,0.947226,0.345794,0.459854,0.000000,0.000000,0.832308,0.842988,0.887199,0.698113,0.164491,0.000000,0.000000
videomae_cbvd5_to_cvb_v2,val,0.172232,0.289888,0.273133,0.106553,0.137931,0.398122,0.000000,0.000000,0.169992,0.758737,0.303744,0.543860,0.441063,0.000000,0.000000,0.983660,0.166543,0.064609,0.078981,0.362801,0.000000,0.000000
videomae_cvb_v2,val,0.776986,0.852498,0.849734,0.978492,0.861811,0.793420,0.730223,0.372727,0.806149,0.869082,0.984071,0.925439,0.792167,0.882353,0.320939,0.904503,0.831230,0.972975,0.806369,0.794677,0.622837,0.444444
videomae_combined_v2,val,0.750660,0.857358,0.817415,0.971016,0.871026,0.704985,0.760469,0.272349,0.880731,0.791193,0.976018,0.875754,0.732703,0.737013,0.220911,0.835194,0.845433,0.966065,0.866348,0.679288,0.785467,0.355014
videomae_cvb_to_cbvd5_v2,val,0.225310,0.441449,0.524384,0.446461,0.126984,0.037895,0.000000,0.000000,0.487896,0.399680,0.785942,0.400000,0.097826,0.000000,0.000000,0.403077,0.762195,0.311787,0.075472,0.023499,0.000000,0.000000
