epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.859231,2.259377,0.168584,0.248813,0.406136,0.004596,0.208198,0.312342,0.000000,0.000000,0.00000000e+00
2,0.353604,2.622911,0.151640,0.243483,0.221830,0.005313,0.102773,0.488079,0.000000,0.000000,1.67142857e-05
3,0.248258,3.566601,0.132590,0.249405,0.130907,0.001596,0.152230,0.393995,0.000000,0.000000,3.34285714e-05
4,0.190453,2.960300,0.168991,0.215335,0.281609,0.005959,0.187607,0.492425,0.000000,0.000000,4.99999876e-05
5,0.138855,3.080402,0.162950,0.267317,0.440620,0.007553,0.011710,0.413450,0.000000,0.000000,4.98270776e-05
6,0.109575,2.343236,0.159055,0.298029,0.186094,0.122317,0.171158,0.335786,0.000000,0.000000,4.93165048e-05
7,0.088604,2.934066,0.166462,0.293282,0.158042,0.110945,0.139037,0.463926,0.000000,0.000000,4.84752134e-05
8,0.068637,3.939134,0.133891,0.292839,0.110791,0.017288,0.055085,0.461231,0.000000,0.000000,4.73146455e-05
9,0.052487,5.257174,0.126195,0.274830,0.049567,0.004298,0.084052,0.470618,0.000000,0.000000,4.58505853e-05
10,0.044681,4.489949,0.154580,0.250977,0.159901,0.014158,0.204753,0.452268,0.000000,0.000000,4.41029450e-05
11,0.034849,4.300583,0.157748,0.279991,0.126816,0.094051,0.167006,0.436372,0.000000,0.000000,4.20954936e-05
12,0.020482,6.851362,0.151970,0.270743,0.042029,0.005486,0.296104,0.449431,0.000000,0.000000,3.98555334e-05
