epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.892747,0.869735,0.265140,0.872483,0.312500,0.623377,0.000000,0.047619,0.000000,0.000000,0.00000000e+00
2,0.349526,1.086645,0.264473,0.834286,0.411765,0.605263,0.000000,0.000000,0.000000,0.000000,1.67142857e-05
3,0.251320,0.974586,0.269323,0.947368,0.000000,0.829787,0.000000,0.108108,0.000000,0.000000,3.34285714e-05
4,0.193448,1.012581,0.314932,0.905660,0.303030,0.895833,0.000000,0.100000,0.000000,0.000000,4.99999876e-05
5,0.131932,1.222207,0.292841,0.830189,0.424242,0.795455,0.000000,0.000000,0.000000,0.000000,4.98270776e-05
6,0.102410,1.425284,0.307347,0.921053,0.266667,0.838710,0.000000,0.125000,0.000000,0.000000,4.93165048e-05
7,0.076313,1.756325,0.293715,0.871166,0.312500,0.872340,0.000000,0.000000,0.000000,0.000000,4.84752134e-05
8,0.060331,2.873009,0.261091,0.897436,0.000000,0.808989,0.000000,0.121212,0.000000,0.000000,4.73146455e-05
9,0.047682,2.000573,0.310860,0.927152,0.536585,0.658228,0.000000,0.054054,0.000000,0.000000,4.58505853e-05
10,0.038258,3.073027,0.292969,0.886076,0.411765,0.752941,0.000000,0.000000,0.000000,0.000000,4.41029450e-05
11,0.038578,2.975462,0.267139,0.890323,0.187500,0.738095,0.000000,0.054054,0.000000,0.000000,4.20954936e-05
12,0.035957,2.979217,0.294987,0.923077,0.388889,0.752941,0.000000,0.000000,0.000000,0.000000,3.98555334e-05
