epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.883035,0.663935,0.355582,0.699454,0.303030,0.846780,0.589812,0.050000,0.000000,0.000000,0.00000000e+00
2,0.345389,0.580781,0.328000,0.581673,0.074074,0.872648,0.767606,0.000000,0.000000,0.000000,1.67127072e-05
3,0.234811,0.908391,0.337845,0.452830,0.424242,0.789433,0.698413,0.000000,0.000000,0.000000,3.34254144e-05
4,0.175432,0.905911,0.364843,0.493151,0.457143,0.817008,0.709677,0.076923,0.000000,0.000000,4.99999884e-05
5,0.133844,1.004305,0.332763,0.361111,0.388889,0.779343,0.800000,0.000000,0.000000,0.000000,4.98272069e-05
6,0.104981,1.397820,0.322562,0.348449,0.387097,0.728163,0.794224,0.000000,0.000000,0.000000,4.93168247e-05
7,0.075703,1.211401,0.355005,0.446483,0.424242,0.814307,0.800000,0.000000,0.000000,0.000000,4.84757818e-05
8,0.068631,1.079575,0.357181,0.480000,0.375000,0.836445,0.808824,0.000000,0.000000,0.000000,4.73155149e-05
9,0.052786,1.695277,0.345359,0.440789,0.375000,0.818802,0.782918,0.000000,0.000000,0.000000,4.58518013e-05
10,0.041291,1.156026,0.356981,0.429412,0.375000,0.837313,0.857143,0.000000,0.000000,0.000000,4.41045444e-05
11,0.039240,1.713593,0.329171,0.354497,0.387097,0.768379,0.794224,0.000000,0.000000,0.000000,4.20975037e-05
12,0.028633,1.967273,0.324139,0.368272,0.294118,0.775157,0.780142,0.051282,0.000000,0.000000,3.98579708e-05
1,0.563910,0.497412,0.722870,0.842428,0.801898,0.976465,0.860228,0.678046,0.602362,0.298667,0.00000000e+00
2,0.212425,0.584472,0.751725,0.867128,0.809417,0.976959,0.883634,0.731230,0.702614,0.291092,1.66718717e-05
3,0.181924,0.668120,0.733588,0.860245,0.798980,0.978903,0.800000,0.647616,0.758350,0.291027,3.33437435e-05
4,0.156507,0.972612,0.753655,0.870128,0.822918,0.980261,0.875841,0.771527,0.722222,0.232687,4.99999999e-05
5,0.121779,0.888381,0.720122,0.864332,0.812817,0.978708,0.827192,0.734751,0.659389,0.163666,4.98305368e-05
6,0.104864,0.913841,0.746496,0.867422,0.826964,0.981791,0.903676,0.769642,0.686869,0.189112,4.93250738e-05
7,0.089245,1.124945,0.730532,0.867178,0.817921,0.980856,0.837209,0.777699,0.684211,0.148649,4.84904507e-05
8,0.073395,1.068410,0.734517,0.857813,0.820656,0.983965,0.849836,0.709807,0.714032,0.205514,4.73379613e-05
9,0.064376,0.855906,0.744096,0.877666,0.829694,0.981486,0.851756,0.782976,0.700617,0.184477,4.58832008e-05
10,0.055886,1.096672,0.737708,0.863490,0.815839,0.982306,0.881397,0.750565,0.641221,0.229141,4.41458545e-05
11,0.051152,1.265521,0.747285,0.870794,0.821665,0.981518,0.849352,0.753637,0.694949,0.259078,4.21494319e-05
12,0.045679,1.314611,0.743664,0.872872,0.818092,0.981144,0.885623,0.747847,0.642336,0.257732,3.99209480e-05
