epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.5457,2.2868,0.185,0.239,0.494,0.457,0.086,0.02,0.0,0.0,0.0
2,0.1881,1.9766,0.2138,0.477,0.457,0.4,0.081,0.081,0.0,0.0,1.67e-05
3,0.1664,2.3457,0.2122,0.461,0.147,0.646,0.053,0.178,0.0,0.0,3.33e-05
4,0.1382,2.8289,0.2214,0.443,0.524,0.448,0.097,0.038,0.0,0.0,5e-05
5,0.1132,3.3254,0.1519,0.455,0.027,0.456,0.033,0.093,0.0,0.0,4.98e-05
6,0.0942,3.3362,0.1697,0.495,0.209,0.375,0.051,0.058,0.0,0.0,4.93e-05
7,0.0798,3.7117,0.1611,0.491,0.1,0.468,0.0,0.068,0.0,0.0,4.85e-05
8,0.0686,6.328,0.0995,0.425,0.0,0.272,0.0,0.0,0.0,0.0,4.73e-05
9,0.0609,4.6758,0.1661,0.456,0.068,0.601,0.029,0.01,0.0,0.0,4.59e-05
10,0.0552,6.3088,0.1747,0.502,0.057,0.627,0.037,0.0,0.0,0.0,4.41e-05
11,0.0399,5.916,0.1338,0.452,0.086,0.322,0.04,0.037,0.0,0.0,4.21e-05
12,0.0406,7.4213,0.0938,0.432,0.003,0.217,0.0,0.005,0.0,0.0,3.99e-05
