epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.555,0.5593,0.7151,0.832,0.81,0.973,0.891,0.592,0.655,0.251,0.0
2,0.1945,0.6577,0.7754,0.851,0.85,0.978,0.86,0.795,0.724,0.37,1.67e-05
3,0.1684,0.8464,0.7414,0.872,0.823,0.98,0.888,0.731,0.557,0.339,3.33e-05
4,0.1394,0.8056,0.7184,0.829,0.858,0.979,0.834,0.791,0.636,0.102,5e-05
5,0.1149,0.7688,0.7464,0.828,0.829,0.977,0.824,0.759,0.711,0.298,4.98e-05
6,0.0859,0.9749,0.7504,0.843,0.839,0.982,0.911,0.744,0.672,0.262,4.93e-05
7,0.0754,0.9194,0.7628,0.867,0.844,0.985,0.925,0.758,0.685,0.275,4.85e-05
8,0.0691,1.109,0.7524,0.862,0.828,0.982,0.908,0.743,0.64,0.304,4.73e-05
9,0.0596,0.9813,0.7614,0.847,0.849,0.981,0.864,0.793,0.699,0.297,4.59e-05
10,0.0572,1.0895,0.7466,0.843,0.834,0.981,0.897,0.756,0.648,0.269,4.41e-05
