dataset,perturbation_type,severity,n_images,mAP50_clean,mAP50_perturbed,delta_mAP50,mAP_clean,mAP_perturbed,AR100_clean,AR100_perturbed
cbvd5,brightness,low,292,0.4591,0.0868,-0.3723,0.1548,0.0263,0.2428,0.062
cbvd5,brightness,high,292,0.4591,0.0118,-0.4473,0.1548,0.0019,0.2428,0.0039
cbvd5,gaussian_noise,low,292,0.4591,0.4337,-0.0254,0.1548,0.1447,0.2428,0.2282
cbvd5,gaussian_noise,high,292,0.4591,0.3508,-0.1083,0.1548,0.1159,0.2428,0.1945
cbvd5,motion_blur,low,292,0.4591,0.4617,0.0026,0.1548,0.1558,0.2428,0.2468
cbvd5,motion_blur,high,292,0.4591,0.4347,-0.0244,0.1548,0.1445,0.2428,0.2282
cbvd5,fog,low,292,0.4591,0.2856,-0.1735,0.1548,0.093,0.2428,0.1568
cbvd5,fog,high,292,0.4591,0.2172,-0.2419,0.1548,0.0693,0.2428,0.1276
cbvd5,rain,low,292,0.4591,0.4372,-0.0219,0.1548,0.1467,0.2428,0.228
cbvd5,rain,high,292,0.4591,0.384,-0.0751,0.1548,0.1271,0.2428,0.2022
cvb,brightness,low,1320,0.0567,0.0099,-0.0468,0.0326,0.0095,0.0431,0.0046
cvb,brightness,high,1320,0.0567,0.0,-0.0567,0.0326,0.0,0.0431,0.0
cvb,gaussian_noise,low,1320,0.0567,0.0552,-0.0015,0.0326,0.0321,0.0431,0.0427
cvb,gaussian_noise,high,1320,0.0567,0.0561,-0.0006,0.0326,0.0343,0.0431,0.0416
cvb,motion_blur,low,1320,0.0567,0.0567,0.0,0.0326,0.0322,0.0431,0.0426
cvb,motion_blur,high,1320,0.0567,0.055,-0.0017,0.0326,0.0307,0.0431,0.0398
cvb,fog,low,1320,0.0567,0.05,-0.0067,0.0326,0.0301,0.0431,0.0383
cvb,fog,high,1320,0.0567,0.0494,-0.0073,0.0326,0.0299,0.0431,0.0366
cvb,rain,low,1320,0.0567,0.0564,-0.0003,0.0326,0.0329,0.0431,0.043
cvb,rain,high,1320,0.0567,0.0542,-0.0025,0.0326,0.0312,0.0431,0.042
