dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C1.02(Gr,G,DHF)",track_0001,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0001,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0001,2,Foraging,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0001,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0001,5,Grooming,0.8,18.7529
inference,"D0C1.02(Gr,G,DHF)",track_0001,6,Other,3.466,81.2471
inference,"D0C1.02(Gr,G,DHF)",track_0002,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0002,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0002,2,Foraging,1.6,85.699
inference,"D0C1.02(Gr,G,DHF)",track_0002,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0002,5,Grooming,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0002,6,Other,0.267,14.301
inference,"D0C1.02(Gr,G,DHF)",track_0003,0,Standing,0.533,5.126
inference,"D0C1.02(Gr,G,DHF)",track_0003,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0003,2,Foraging,3.732,35.8915
inference,"D0C1.02(Gr,G,DHF)",track_0003,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0003,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0003,5,Grooming,1.6,15.3876
inference,"D0C1.02(Gr,G,DHF)",track_0003,6,Other,4.533,43.5949
inference,"D0C1.02(Gr,G,DHF)",track_0004,0,Standing,0.267,6.2573
inference,"D0C1.02(Gr,G,DHF)",track_0004,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0004,2,Foraging,2.133,49.9883
inference,"D0C1.02(Gr,G,DHF)",track_0004,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0004,5,Grooming,0.267,6.2573
inference,"D0C1.02(Gr,G,DHF)",track_0004,6,Other,1.6,37.4971
inference,"D0C1.02(Gr,G,DHF)",track_0005,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,2,Foraging,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,5,Grooming,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0005,6,Other,28.268,100.0
inference,"D0C1.02(Gr,G,DHF)",track_0006,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0006,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0006,2,Foraging,4.266,84.2084
inference,"D0C1.02(Gr,G,DHF)",track_0006,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0006,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0006,5,Grooming,0.267,5.2704
inference,"D0C1.02(Gr,G,DHF)",track_0006,6,Other,0.533,10.5211
inference,"D0C1.02(Gr,G,DHF)",track_0007,0,Standing,0.533,100.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,2,Foraging,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,5,Grooming,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0007,6,Other,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,2,Foraging,0.533,50.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,5,Grooming,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0008,6,Other,0.533,50.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,2,Foraging,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0009,5,Grooming,0.267,33.375
inference,"D0C1.02(Gr,G,DHF)",track_0009,6,Other,0.533,66.625
inference,"D0C1.02(Gr,G,DHF)",track_0011,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0011,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0011,2,Foraging,3.199,42.8591
inference,"D0C1.02(Gr,G,DHF)",track_0011,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0011,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0011,5,Grooming,1.066,14.2819
inference,"D0C1.02(Gr,G,DHF)",track_0011,6,Other,3.199,42.8591
inference,"D0C1.02(Gr,G,DHF)",track_0012,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,2,Foraging,0.8,100.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,4,Ruminating,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,5,Grooming,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0012,6,Other,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0013,0,Standing,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0013,1,Lying,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0013,2,Foraging,9.601,67.9236
inference,"D0C1.02(Gr,G,DHF)",track_0013,3,Drinking,0.0,0.0
inference,"D0C1.02(Gr,G,DHF)",track_0013,4,Ruminating,0.0,0.0
