dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,2,Foraging,2,0.2
inference,0,Standing,5,Grooming,2,0.2
inference,0,Standing,6,Other,6,0.6
inference,2,Foraging,0,Standing,2,0.0435
inference,2,Foraging,2,Foraging,13,0.2826
inference,2,Foraging,5,Grooming,7,0.1522
inference,2,Foraging,6,Other,24,0.5217
inference,4,Ruminating,0,Standing,2,0.3333
inference,4,Ruminating,4,Ruminating,1,0.1667
inference,4,Ruminating,5,Grooming,3,0.5
inference,5,Grooming,0,Standing,3,0.1154
inference,5,Grooming,2,Foraging,9,0.3462
inference,5,Grooming,4,Ruminating,3,0.1154
inference,5,Grooming,5,Grooming,1,0.0385
inference,5,Grooming,6,Other,10,0.3846
inference,6,Other,0,Standing,3,0.0577
inference,6,Other,2,Foraging,20,0.3846
inference,6,Other,4,Ruminating,3,0.0577
inference,6,Other,5,Grooming,16,0.3077
inference,6,Other,6,Other,10,0.1923
