dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C1.03(1DG,DHF)",track_0001,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0001,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0001,2,Foraging,1.6,11.321
inference,"D0C1.03(1DG,DHF)",track_0001,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0001,5,Grooming,0.267,1.8892
inference,"D0C1.03(1DG,DHF)",track_0001,6,Other,12.266,86.7898
inference,"D0C1.03(1DG,DHF)",track_0002,0,Standing,0.8,33.3333
inference,"D0C1.03(1DG,DHF)",track_0002,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0002,2,Foraging,0.533,22.2083
inference,"D0C1.03(1DG,DHF)",track_0002,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0002,4,Ruminating,0.267,11.125
inference,"D0C1.03(1DG,DHF)",track_0002,5,Grooming,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0002,6,Other,0.8,33.3333
inference,"D0C1.03(1DG,DHF)",track_0004,0,Standing,1.067,40.0075
inference,"D0C1.03(1DG,DHF)",track_0004,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0004,2,Foraging,0.533,19.985
inference,"D0C1.03(1DG,DHF)",track_0004,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0004,5,Grooming,0.534,20.0225
inference,"D0C1.03(1DG,DHF)",track_0004,6,Other,0.533,19.985
inference,"D0C1.03(1DG,DHF)",track_0005,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0005,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0005,2,Foraging,1.067,10.5289
inference,"D0C1.03(1DG,DHF)",track_0005,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0005,4,Ruminating,1.867,18.4231
inference,"D0C1.03(1DG,DHF)",track_0005,5,Grooming,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0005,6,Other,7.2,71.048
inference,"D0C1.03(1DG,DHF)",track_0006,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0006,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0006,2,Foraging,5.064,42.207
inference,"D0C1.03(1DG,DHF)",track_0006,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0006,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0006,5,Grooming,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0006,6,Other,6.934,57.793
inference,"D0C1.03(1DG,DHF)",track_0009,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,2,Foraging,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,5,Grooming,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0009,6,Other,0.533,100.0
inference,"D0C1.03(1DG,DHF)",track_0011,0,Standing,2.133,11.593
inference,"D0C1.03(1DG,DHF)",track_0011,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0011,2,Foraging,1.066,5.7938
inference,"D0C1.03(1DG,DHF)",track_0011,3,Drinking,0.267,1.4512
inference,"D0C1.03(1DG,DHF)",track_0011,4,Ruminating,2.133,11.593
inference,"D0C1.03(1DG,DHF)",track_0011,5,Grooming,10.666,57.9705
inference,"D0C1.03(1DG,DHF)",track_0011,6,Other,2.134,11.5985
inference,"D0C1.03(1DG,DHF)",track_0012,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0012,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0012,2,Foraging,4.532,67.997
inference,"D0C1.03(1DG,DHF)",track_0012,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0012,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0012,5,Grooming,0.533,7.997
inference,"D0C1.03(1DG,DHF)",track_0012,6,Other,1.6,24.006
inference,"D0C1.03(1DG,DHF)",track_0013,0,Standing,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0013,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0013,2,Foraging,0.533,33.3333
inference,"D0C1.03(1DG,DHF)",track_0013,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0013,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0013,5,Grooming,0.533,33.3333
inference,"D0C1.03(1DG,DHF)",track_0013,6,Other,0.533,33.3333
inference,"D0C1.03(1DG,DHF)",track_0014,0,Standing,2.666,10.6351
inference,"D0C1.03(1DG,DHF)",track_0014,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0014,2,Foraging,1.333,5.3175
inference,"D0C1.03(1DG,DHF)",track_0014,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0014,4,Ruminating,1.867,7.4477
inference,"D0C1.03(1DG,DHF)",track_0014,5,Grooming,0.267,1.0651
inference,"D0C1.03(1DG,DHF)",track_0014,6,Other,18.935,75.5345
inference,"D0C1.03(1DG,DHF)",track_0022,0,Standing,1.066,11.7569
inference,"D0C1.03(1DG,DHF)",track_0022,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0022,2,Foraging,0.534,5.8895
inference,"D0C1.03(1DG,DHF)",track_0022,3,Drinking,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0022,4,Ruminating,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0022,5,Grooming,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0022,6,Other,7.467,82.3536
inference,"D0C1.03(1DG,DHF)",track_0023,0,Standing,0.533,18.1725
inference,"D0C1.03(1DG,DHF)",track_0023,1,Lying,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0023,2,Foraging,0.0,0.0
inference,"D0C1.03(1DG,DHF)",track_0023,3,Drinking,0.0,0.0
