track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0011,5,Grooming,117,133,3.9,4.433,0.533
track_0011,5,Grooming,157,173,5.234,5.767,0.533
track_0011,6,Other,205,237,6.834,7.9,1.067
track_0011,5,Grooming,237,253,7.9,8.434,0.533
track_0011,0,Standing,253,261,8.434,8.7,0.267
track_0011,5,Grooming,261,269,8.7,8.967,0.267
track_0011,6,Other,333,341,11.1,11.367,0.267
track_0011,5,Grooming,341,349,11.367,11.634,0.267
track_0011,4,Ruminating,349,357,11.634,11.9,0.267
track_0011,5,Grooming,357,365,11.9,12.167,0.267
track_0011,6,Other,365,381,12.167,12.7,0.533
track_0011,5,Grooming,445,485,14.834,16.167,1.333
track_0011,5,Grooming,517,629,17.234,20.967,3.733
track_0011,4,Ruminating,629,645,20.967,21.501,0.533
track_0011,2,Foraging,757,773,25.234,25.768,0.533
track_0011,3,Drinking,845,853,28.168,28.434,0.267
track_0011,5,Grooming,853,885,28.434,29.501,1.067
track_0011,4,Ruminating,885,893,29.501,29.768,0.267
track_0011,6,Other,893,901,29.768,30.034,0.267
track_0011,5,Grooming,901,925,30.034,30.834,0.8
track_0011,4,Ruminating,925,941,30.834,31.368,0.533
track_0011,2,Foraging,965,981,32.168,32.701,0.533
track_0011,5,Grooming,989,1013,32.968,33.768,0.8
track_0011,5,Grooming,1061,1077,35.368,35.901,0.533
track_0011,0,Standing,1085,1101,36.168,36.701,0.533
track_0011,0,Standing,1157,1197,38.568,39.901,1.333
track_0011,4,Ruminating,1197,1213,39.901,40.435,0.533
