dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,0,Standing,1,0.0714
inference,0,Standing,2,Foraging,1,0.0714
inference,0,Standing,4,Ruminating,2,0.1429
inference,0,Standing,5,Grooming,3,0.2143
inference,0,Standing,6,Other,7,0.5
inference,2,Foraging,0,Standing,1,0.04
inference,2,Foraging,2,Foraging,10,0.4
inference,2,Foraging,3,Drinking,1,0.04
inference,2,Foraging,4,Ruminating,1,0.04
inference,2,Foraging,5,Grooming,3,0.12
inference,2,Foraging,6,Other,9,0.36
inference,3,Drinking,5,Grooming,1,1.0
inference,4,Ruminating,0,Standing,3,0.2
inference,4,Ruminating,2,Foraging,2,0.1333
inference,4,Ruminating,4,Ruminating,1,0.0667
inference,4,Ruminating,5,Grooming,2,0.1333
inference,4,Ruminating,6,Other,7,0.4667
inference,5,Grooming,0,Standing,5,0.2083
inference,5,Grooming,2,Foraging,1,0.0417
inference,5,Grooming,4,Ruminating,6,0.25
inference,5,Grooming,5,Grooming,4,0.1667
inference,5,Grooming,6,Other,8,0.3333
inference,6,Other,0,Standing,5,0.102
inference,6,Other,2,Foraging,11,0.2245
inference,6,Other,4,Ruminating,8,0.1633
inference,6,Other,5,Grooming,9,0.1837
inference,6,Other,6,Other,16,0.3265
