dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C1.03(1G,1W,DHF)",track_0003,0,Standing,0.534,7.4156
inference,"D0C1.03(1G,1W,DHF)",track_0003,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0003,2,Foraging,5.6,77.767
inference,"D0C1.03(1G,1W,DHF)",track_0003,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0003,4,Ruminating,0.267,3.7078
inference,"D0C1.03(1G,1W,DHF)",track_0003,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0003,6,Other,0.8,11.1096
inference,"D0C1.03(1G,1W,DHF)",track_0004,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0004,6,Other,0.8,100.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0005,5,Grooming,0.8,9.0909
inference,"D0C1.03(1G,1W,DHF)",track_0005,6,Other,8.0,90.9091
inference,"D0C1.03(1G,1W,DHF)",track_0007,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0007,6,Other,5.6,100.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0008,5,Grooming,1.066,66.6667
inference,"D0C1.03(1G,1W,DHF)",track_0008,6,Other,0.533,33.3333
inference,"D0C1.03(1G,1W,DHF)",track_0010,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0010,6,Other,1.333,100.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0011,6,Other,1.067,100.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,0,Standing,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0013,5,Grooming,0.533,66.625
inference,"D0C1.03(1G,1W,DHF)",track_0013,6,Other,0.267,33.375
inference,"D0C1.03(1G,1W,DHF)",track_0018,0,Standing,0.267,6.675
inference,"D0C1.03(1G,1W,DHF)",track_0018,1,Lying,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0018,2,Foraging,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0018,3,Drinking,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0018,4,Ruminating,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0018,5,Grooming,0.0,0.0
inference,"D0C1.03(1G,1W,DHF)",track_0018,6,Other,3.733,93.325
