dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D0C1.03(1G,1W,DHF)",track_0003,0,Standing,7.4156,0.0,7.4156,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0010,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,0,Standing,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0018,0,Standing,6.675,0.0,6.675,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0010,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0018,1,Lying,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,2,Foraging,77.767,0.0,77.767,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0010,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0018,2,Foraging,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0010,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0018,3,Drinking,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,4,Ruminating,3.7078,0.0,3.7078,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0010,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0018,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,5,Grooming,9.0909,0.0,9.0909,False
inference,"D0C1.03(1G,1W,DHF)",track_0007,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0008,5,Grooming,66.6667,0.0,66.6667,True
inference,"D0C1.03(1G,1W,DHF)",track_0010,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0011,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0013,5,Grooming,66.625,0.0,66.625,True
inference,"D0C1.03(1G,1W,DHF)",track_0018,5,Grooming,0.0,0.0,0.0,False
inference,"D0C1.03(1G,1W,DHF)",track_0003,6,Other,11.1096,93.325,82.2154,False
inference,"D0C1.03(1G,1W,DHF)",track_0004,6,Other,100.0,93.325,6.675,False
inference,"D0C1.03(1G,1W,DHF)",track_0005,6,Other,90.9091,93.325,2.4159,False
