dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C1.07(LL,D,Gr,G)",track_0001,0,Standing,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0001,1,Lying,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0001,2,Foraging,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0001,3,Drinking,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0001,5,Grooming,1.333,83.3125
inference,"D0C1.07(LL,D,Gr,G)",track_0001,6,Other,0.267,16.6875
inference,"D0C1.07(LL,D,Gr,G)",track_0002,0,Standing,0.267,1.1779
inference,"D0C1.07(LL,D,Gr,G)",track_0002,1,Lying,4.533,19.9982
inference,"D0C1.07(LL,D,Gr,G)",track_0002,2,Foraging,14.133,62.3506
inference,"D0C1.07(LL,D,Gr,G)",track_0002,3,Drinking,0.267,1.1779
inference,"D0C1.07(LL,D,Gr,G)",track_0002,4,Ruminating,3.467,15.2954
inference,"D0C1.07(LL,D,Gr,G)",track_0002,5,Grooming,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0002,6,Other,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0003,0,Standing,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0003,1,Lying,2.4,9.7835
inference,"D0C1.07(LL,D,Gr,G)",track_0003,2,Foraging,6.132,24.9969
inference,"D0C1.07(LL,D,Gr,G)",track_0003,3,Drinking,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0003,4,Ruminating,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0003,5,Grooming,14.932,60.8699
inference,"D0C1.07(LL,D,Gr,G)",track_0003,6,Other,1.067,4.3496
inference,"D0C1.07(LL,D,Gr,G)",track_0004,0,Standing,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0004,1,Lying,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0004,2,Foraging,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0004,3,Drinking,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0004,5,Grooming,0.533,1.0519
inference,"D0C1.07(LL,D,Gr,G)",track_0004,6,Other,50.135,98.9481
inference,"D0C1.07(LL,D,Gr,G)",track_0005,0,Standing,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0005,1,Lying,14.667,84.6141
inference,"D0C1.07(LL,D,Gr,G)",track_0005,2,Foraging,2.667,15.3859
inference,"D0C1.07(LL,D,Gr,G)",track_0005,3,Drinking,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0005,5,Grooming,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0005,6,Other,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0006,0,Standing,0.0,0.0
inference,"D0C1.07(LL,D,Gr,G)",track_0006,1,Lying,3.732,25.9203
inference,"D0C1.07(LL,D,Gr,G)",track_0006,2,Foraging,0.0,0.0
