dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,1,Lying,1,0.1429
inference,0,Standing,2,Foraging,2,0.2857
inference,0,Standing,5,Grooming,4,0.5714
inference,1,Lying,0,Standing,2,0.05
inference,1,Lying,1,Lying,3,0.075
inference,1,Lying,2,Foraging,22,0.55
inference,1,Lying,3,Drinking,1,0.025
inference,1,Lying,4,Ruminating,3,0.075
inference,1,Lying,5,Grooming,8,0.2
inference,1,Lying,6,Other,1,0.025
inference,2,Foraging,0,Standing,1,0.0152
inference,2,Foraging,1,Lying,21,0.3182
inference,2,Foraging,2,Foraging,6,0.0909
inference,2,Foraging,3,Drinking,2,0.0303
inference,2,Foraging,4,Ruminating,5,0.0758
inference,2,Foraging,5,Grooming,26,0.3939
inference,2,Foraging,6,Other,5,0.0758
inference,3,Drinking,1,Lying,1,0.3333
inference,3,Drinking,2,Foraging,1,0.3333
inference,3,Drinking,5,Grooming,1,0.3333
inference,4,Ruminating,1,Lying,3,0.25
inference,4,Ruminating,2,Foraging,6,0.5
inference,4,Ruminating,5,Grooming,3,0.25
inference,5,Grooming,0,Standing,4,0.0597
inference,5,Grooming,1,Lying,10,0.1493
inference,5,Grooming,2,Foraging,30,0.4478
inference,5,Grooming,4,Ruminating,2,0.0299
inference,5,Grooming,5,Grooming,2,0.0299
inference,5,Grooming,6,Other,19,0.2836
inference,6,Other,1,Lying,1,0.0385
inference,6,Other,2,Foraging,4,0.1538
inference,6,Other,5,Grooming,20,0.7692
inference,6,Other,6,Other,1,0.0385
