dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,D0C1.16(DGrG),track_0001,0,Standing,0.267,1.6148
inference,D0C1.16(DGrG),track_0001,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0001,2,Foraging,8.801,53.2265
inference,D0C1.16(DGrG),track_0001,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0001,4,Ruminating,0.267,1.6148
inference,D0C1.16(DGrG),track_0001,5,Grooming,1.866,11.2852
inference,D0C1.16(DGrG),track_0001,6,Other,5.334,32.2588
inference,D0C1.16(DGrG),track_0002,0,Standing,0.0,0.0
inference,D0C1.16(DGrG),track_0002,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0002,2,Foraging,5.599,33.8656
inference,D0C1.16(DGrG),track_0002,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0002,4,Ruminating,0.0,0.0
inference,D0C1.16(DGrG),track_0002,5,Grooming,4.267,25.809
inference,D0C1.16(DGrG),track_0002,6,Other,6.667,40.3254
inference,D0C1.16(DGrG),track_0003,0,Standing,1.067,6.4534
inference,D0C1.16(DGrG),track_0003,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0003,2,Foraging,13.333,80.6399
inference,D0C1.16(DGrG),track_0003,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0003,4,Ruminating,2.134,12.9067
inference,D0C1.16(DGrG),track_0003,5,Grooming,0.0,0.0
inference,D0C1.16(DGrG),track_0003,6,Other,0.0,0.0
inference,D0C1.16(DGrG),track_0004,0,Standing,0.533,9.9944
inference,D0C1.16(DGrG),track_0004,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0004,2,Foraging,2.4,45.0028
inference,D0C1.16(DGrG),track_0004,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0004,4,Ruminating,0.0,0.0
inference,D0C1.16(DGrG),track_0004,5,Grooming,2.4,45.0028
inference,D0C1.16(DGrG),track_0004,6,Other,0.0,0.0
inference,D0C1.16(DGrG),track_0005,0,Standing,0.0,0.0
inference,D0C1.16(DGrG),track_0005,1,Lying,0.267,4.1712
inference,D0C1.16(DGrG),track_0005,2,Foraging,0.0,0.0
inference,D0C1.16(DGrG),track_0005,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0005,4,Ruminating,6.134,95.8288
inference,D0C1.16(DGrG),track_0005,5,Grooming,0.0,0.0
inference,D0C1.16(DGrG),track_0005,6,Other,0.0,0.0
inference,D0C1.16(DGrG),track_0006,0,Standing,0.0,0.0
inference,D0C1.16(DGrG),track_0006,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0006,2,Foraging,0.267,2.0027
inference,D0C1.16(DGrG),track_0006,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0006,4,Ruminating,0.0,0.0
inference,D0C1.16(DGrG),track_0006,5,Grooming,6.932,51.9952
inference,D0C1.16(DGrG),track_0006,6,Other,6.133,46.0021
inference,D0C1.16(DGrG),track_0012,0,Standing,0.267,2.1304
inference,D0C1.16(DGrG),track_0012,1,Lying,0.0,0.0
inference,D0C1.16(DGrG),track_0012,2,Foraging,9.333,74.4674
inference,D0C1.16(DGrG),track_0012,3,Drinking,0.0,0.0
inference,D0C1.16(DGrG),track_0012,4,Ruminating,0.0,0.0
inference,D0C1.16(DGrG),track_0012,5,Grooming,1.333,10.6359
inference,D0C1.16(DGrG),track_0012,6,Other,1.6,12.7663
