dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,D0C1.16(DGrG),track_0001,0,Standing,1.6148,1.6148,0.0,False
inference,D0C1.16(DGrG),track_0002,0,Standing,0.0,1.6148,1.6148,False
inference,D0C1.16(DGrG),track_0003,0,Standing,6.4534,1.6148,4.8386,False
inference,D0C1.16(DGrG),track_0004,0,Standing,9.9944,1.6148,8.3796,True
inference,D0C1.16(DGrG),track_0005,0,Standing,0.0,1.6148,1.6148,False
inference,D0C1.16(DGrG),track_0006,0,Standing,0.0,1.6148,1.6148,False
inference,D0C1.16(DGrG),track_0012,0,Standing,2.1304,1.6148,0.5156,False
inference,D0C1.16(DGrG),track_0001,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0002,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0003,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0004,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0005,1,Lying,4.1712,0.0,4.1712,False
inference,D0C1.16(DGrG),track_0006,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0012,1,Lying,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0001,2,Foraging,53.2265,45.0028,8.2237,False
inference,D0C1.16(DGrG),track_0002,2,Foraging,33.8656,45.0028,11.1372,False
inference,D0C1.16(DGrG),track_0003,2,Foraging,80.6399,45.0028,35.6371,False
inference,D0C1.16(DGrG),track_0004,2,Foraging,45.0028,45.0028,0.0,False
inference,D0C1.16(DGrG),track_0005,2,Foraging,0.0,45.0028,45.0028,False
inference,D0C1.16(DGrG),track_0006,2,Foraging,2.0027,45.0028,43.0001,False
inference,D0C1.16(DGrG),track_0012,2,Foraging,74.4674,45.0028,29.4646,False
inference,D0C1.16(DGrG),track_0001,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0002,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0003,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0004,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0005,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0006,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0012,3,Drinking,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0001,4,Ruminating,1.6148,0.0,1.6148,False
inference,D0C1.16(DGrG),track_0002,4,Ruminating,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0003,4,Ruminating,12.9067,0.0,12.9067,True
inference,D0C1.16(DGrG),track_0004,4,Ruminating,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0005,4,Ruminating,95.8288,0.0,95.8288,True
inference,D0C1.16(DGrG),track_0006,4,Ruminating,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0012,4,Ruminating,0.0,0.0,0.0,False
inference,D0C1.16(DGrG),track_0001,5,Grooming,11.2852,11.2852,0.0,False
inference,D0C1.16(DGrG),track_0002,5,Grooming,25.809,11.2852,14.5238,False
inference,D0C1.16(DGrG),track_0003,5,Grooming,0.0,11.2852,11.2852,False
inference,D0C1.16(DGrG),track_0004,5,Grooming,45.0028,11.2852,33.7176,False
inference,D0C1.16(DGrG),track_0005,5,Grooming,0.0,11.2852,11.2852,False
inference,D0C1.16(DGrG),track_0006,5,Grooming,51.9952,11.2852,40.71,False
inference,D0C1.16(DGrG),track_0012,5,Grooming,10.6359,11.2852,0.6493,False
inference,D0C1.16(DGrG),track_0001,6,Other,32.2588,12.7663,19.4925,False
inference,D0C1.16(DGrG),track_0002,6,Other,40.3254,12.7663,27.5591,False
inference,D0C1.16(DGrG),track_0003,6,Other,0.0,12.7663,12.7663,False
inference,D0C1.16(DGrG),track_0004,6,Other,0.0,12.7663,12.7663,False
inference,D0C1.16(DGrG),track_0005,6,Other,0.0,12.7663,12.7663,False
inference,D0C1.16(DGrG),track_0006,6,Other,46.0021,12.7663,33.2358,False
inference,D0C1.16(DGrG),track_0012,6,Other,12.7663,12.7663,0.0,False
