track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0001,0,Standing,0,8,0.0,0.267,0.267
track_0001,6,Other,8,40,0.267,1.333,1.067
track_0001,5,Grooming,40,48,1.333,1.6,0.267
track_0001,6,Other,48,56,1.6,1.867,0.267
track_0001,2,Foraging,56,264,1.867,8.8,6.934
track_0001,4,Ruminating,264,272,8.8,9.067,0.267
track_0001,2,Foraging,272,328,9.067,10.934,1.867
track_0001,6,Other,328,360,10.934,12.0,1.067
track_0001,5,Grooming,360,376,12.0,12.534,0.533
track_0001,6,Other,376,392,12.534,13.067,0.533
track_0001,5,Grooming,392,408,13.067,13.6,0.533
track_0001,6,Other,408,416,13.6,13.867,0.267
track_0001,5,Grooming,416,432,13.867,14.4,0.533
track_0001,6,Other,432,496,14.4,16.534,2.133
