dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,2,Foraging,1,0.25
inference,0,Standing,4,Ruminating,1,0.25
inference,0,Standing,6,Other,2,0.5
inference,1,Lying,4,Ruminating,1,1.0
inference,2,Foraging,0,Standing,2,0.125
inference,2,Foraging,4,Ruminating,4,0.25
inference,2,Foraging,5,Grooming,7,0.4375
inference,2,Foraging,6,Other,3,0.1875
inference,4,Ruminating,0,Standing,1,0.1667
inference,4,Ruminating,1,Lying,1,0.1667
inference,4,Ruminating,2,Foraging,3,0.5
inference,4,Ruminating,4,Ruminating,1,0.1667
inference,5,Grooming,0,Standing,1,0.0385
inference,5,Grooming,2,Foraging,8,0.3077
inference,5,Grooming,5,Grooming,1,0.0385
inference,5,Grooming,6,Other,16,0.6154
inference,6,Other,2,Foraging,3,0.1667
inference,6,Other,5,Grooming,15,0.8333
