dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,5,Grooming,3,0.5
inference,0,Standing,6,Other,3,0.5
inference,1,Lying,1,Lying,1,1.0
inference,2,Foraging,0,Standing,1,0.1111
inference,2,Foraging,5,Grooming,3,0.3333
inference,2,Foraging,6,Other,5,0.5556
inference,4,Ruminating,4,Ruminating,1,0.1667
inference,4,Ruminating,5,Grooming,2,0.3333
inference,4,Ruminating,6,Other,3,0.5
inference,5,Grooming,0,Standing,2,0.1176
inference,5,Grooming,2,Foraging,5,0.2941
inference,5,Grooming,6,Other,10,0.5882
inference,6,Other,0,Standing,4,0.1667
inference,6,Other,2,Foraging,3,0.125
inference,6,Other,4,Ruminating,5,0.2083
inference,6,Other,5,Grooming,7,0.2917
inference,6,Other,6,Other,5,0.2083
