dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.22(I,LD,2HF)",track_0001,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0001,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0001,2,Foraging,0.267,7.7012
inference,"D0C2.22(I,LD,2HF)",track_0001,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0001,5,Grooming,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0001,6,Other,3.2,92.2988
inference,"D0C2.22(I,LD,2HF)",track_0002,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0002,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0002,2,Foraging,0.8,29.9963
inference,"D0C2.22(I,LD,2HF)",track_0002,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0002,5,Grooming,0.534,20.0225
inference,"D0C2.22(I,LD,2HF)",track_0002,6,Other,1.333,49.9813
inference,"D0C2.22(I,LD,2HF)",track_0003,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,2,Foraging,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,5,Grooming,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0003,6,Other,0.533,100.0
inference,"D0C2.22(I,LD,2HF)",track_0004,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0004,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0004,2,Foraging,1.333,71.398
inference,"D0C2.22(I,LD,2HF)",track_0004,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0004,4,Ruminating,0.267,14.301
inference,"D0C2.22(I,LD,2HF)",track_0004,5,Grooming,0.267,14.301
inference,"D0C2.22(I,LD,2HF)",track_0004,6,Other,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0005,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0005,1,Lying,0.8,11.1111
inference,"D0C2.22(I,LD,2HF)",track_0005,2,Foraging,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0005,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0005,5,Grooming,3.733,51.8472
inference,"D0C2.22(I,LD,2HF)",track_0005,6,Other,2.667,37.0417
inference,"D0C2.22(I,LD,2HF)",track_0006,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0006,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0006,2,Foraging,0.8,42.8725
inference,"D0C2.22(I,LD,2HF)",track_0006,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0006,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0006,5,Grooming,1.066,57.1275
inference,"D0C2.22(I,LD,2HF)",track_0006,6,Other,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,2,Foraging,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,5,Grooming,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0007,6,Other,2.4,100.0
inference,"D0C2.22(I,LD,2HF)",track_0008,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0008,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0008,2,Foraging,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0008,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0008,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0008,5,Grooming,1.6,59.9925
inference,"D0C2.22(I,LD,2HF)",track_0008,6,Other,1.067,40.0075
inference,"D0C2.22(I,LD,2HF)",track_0011,0,Standing,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0011,1,Lying,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0011,2,Foraging,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0011,3,Drinking,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0011,4,Ruminating,0.0,0.0
inference,"D0C2.22(I,LD,2HF)",track_0011,5,Grooming,2.133,100.0
inference,"D0C2.22(I,LD,2HF)",track_0011,6,Other,0.0,0.0
