dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,1,Lying,5,Grooming,1,1.0
inference,2,Foraging,2,Foraging,1,0.1429
inference,2,Foraging,4,Ruminating,1,0.1429
inference,2,Foraging,5,Grooming,2,0.2857
inference,2,Foraging,6,Other,3,0.4286
inference,4,Ruminating,2,Foraging,1,1.0
inference,5,Grooming,1,Lying,1,0.1429
inference,5,Grooming,2,Foraging,2,0.2857
inference,5,Grooming,6,Other,4,0.5714
inference,6,Other,1,Lying,1,0.0909
inference,6,Other,2,Foraging,2,0.1818
inference,6,Other,5,Grooming,5,0.4545
inference,6,Other,6,Other,3,0.2727
