dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.52(V,3G,3HF)",track_0001,0,Standing,7.468,32.948
inference,"D0C2.52(V,3G,3HF)",track_0001,1,Lying,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0001,2,Foraging,7.999,35.2907
inference,"D0C2.52(V,3G,3HF)",track_0001,3,Drinking,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0001,5,Grooming,1.6,7.059
inference,"D0C2.52(V,3G,3HF)",track_0001,6,Other,5.599,24.7022
inference,"D0C2.52(V,3G,3HF)",track_0002,0,Standing,6.134,35.3871
inference,"D0C2.52(V,3G,3HF)",track_0002,1,Lying,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0002,2,Foraging,3.466,19.9954
inference,"D0C2.52(V,3G,3HF)",track_0002,3,Drinking,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0002,5,Grooming,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0002,6,Other,7.734,44.6175
inference,"D0C2.52(V,3G,3HF)",track_0003,0,Standing,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0003,1,Lying,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0003,2,Foraging,1.066,5.6298
inference,"D0C2.52(V,3G,3HF)",track_0003,3,Drinking,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0003,4,Ruminating,3.2,16.8999
inference,"D0C2.52(V,3G,3HF)",track_0003,5,Grooming,5.869,30.9955
inference,"D0C2.52(V,3G,3HF)",track_0003,6,Other,8.8,46.4748
inference,"D0C2.52(V,3G,3HF)",track_0004,0,Standing,0.267,1.3003
inference,"D0C2.52(V,3G,3HF)",track_0004,1,Lying,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0004,2,Foraging,20.267,98.6997
inference,"D0C2.52(V,3G,3HF)",track_0004,3,Drinking,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0004,5,Grooming,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0004,6,Other,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,0,Standing,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,1,Lying,1.6,100.0
inference,"D0C2.52(V,3G,3HF)",track_0005,2,Foraging,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,3,Drinking,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,5,Grooming,0.0,0.0
inference,"D0C2.52(V,3G,3HF)",track_0005,6,Other,0.0,0.0
