track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0014,1,Lying,50,66,1.667,2.2,0.533
track_0014,4,Ruminating,66,90,2.2,3.0,0.8
track_0014,6,Other,90,98,3.0,3.267,0.267
track_0014,2,Foraging,98,114,3.267,3.8,0.533
track_0014,1,Lying,114,130,3.8,4.333,0.533
track_0014,2,Foraging,130,138,4.333,4.6,0.267
track_0014,1,Lying,138,154,4.6,5.134,0.533
track_0014,2,Foraging,154,178,5.134,5.934,0.8
track_0014,4,Ruminating,178,202,5.934,6.734,0.8
track_0014,2,Foraging,202,234,6.734,7.8,1.067
track_0014,1,Lying,234,250,7.8,8.334,0.533
track_0014,2,Foraging,250,354,8.334,11.8,3.467
track_0014,4,Ruminating,354,362,11.8,12.067,0.267
track_0014,2,Foraging,362,378,12.067,12.6,0.533
track_0014,4,Ruminating,378,386,12.6,12.867,0.267
track_0014,6,Other,386,410,12.867,13.667,0.8
track_0014,2,Foraging,410,442,13.667,14.734,1.067
track_0014,4,Ruminating,442,458,14.734,15.267,0.533
track_0014,2,Foraging,458,466,15.267,15.534,0.267
track_0014,6,Other,466,474,15.534,15.801,0.267
track_0014,2,Foraging,474,506,15.801,16.867,1.067
track_0014,1,Lying,506,586,16.867,19.534,2.667
track_0014,2,Foraging,586,618,19.534,20.601,1.067
