dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,2,Foraging,6,0.25
inference,0,Standing,5,Grooming,4,0.1667
inference,0,Standing,6,Other,14,0.5833
inference,1,Lying,2,Foraging,5,0.8333
inference,1,Lying,4,Ruminating,1,0.1667
inference,2,Foraging,0,Standing,7,0.25
inference,2,Foraging,1,Lying,4,0.1429
inference,2,Foraging,4,Ruminating,5,0.1786
inference,2,Foraging,5,Grooming,2,0.0714
inference,2,Foraging,6,Other,10,0.3571
inference,4,Ruminating,0,Standing,3,0.1154
inference,4,Ruminating,2,Foraging,4,0.1538
inference,4,Ruminating,5,Grooming,8,0.3077
inference,4,Ruminating,6,Other,11,0.4231
inference,5,Grooming,0,Standing,5,0.1351
inference,5,Grooming,2,Foraging,1,0.027
inference,5,Grooming,4,Ruminating,5,0.1351
inference,5,Grooming,5,Grooming,2,0.0541
inference,5,Grooming,6,Other,24,0.6486
inference,6,Other,0,Standing,12,0.1875
inference,6,Other,1,Lying,1,0.0156
inference,6,Other,2,Foraging,13,0.2031
inference,6,Other,4,Ruminating,13,0.2031
inference,6,Other,5,Grooming,21,0.3281
inference,6,Other,6,Other,4,0.0625
