dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.61(3T,DA,3W,G)",track_0001,0,Standing,9.867,32.7437
inference,"D0C2.61(3T,DA,3W,G)",track_0001,1,Lying,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0001,2,Foraging,0.267,0.886
inference,"D0C2.61(3T,DA,3W,G)",track_0001,3,Drinking,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0001,5,Grooming,1.067,3.5409
inference,"D0C2.61(3T,DA,3W,G)",track_0001,6,Other,18.933,62.8294
inference,"D0C2.61(3T,DA,3W,G)",track_0002,0,Standing,2.133,27.5831
inference,"D0C2.61(3T,DA,3W,G)",track_0002,1,Lying,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0002,2,Foraging,0.533,6.8925
inference,"D0C2.61(3T,DA,3W,G)",track_0002,3,Drinking,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0002,5,Grooming,4.267,55.1791
inference,"D0C2.61(3T,DA,3W,G)",track_0002,6,Other,0.8,10.3453
inference,"D0C2.61(3T,DA,3W,G)",track_0003,0,Standing,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,1,Lying,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,2,Foraging,0.533,50.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,3,Drinking,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,4,Ruminating,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,5,Grooming,0.533,50.0
inference,"D0C2.61(3T,DA,3W,G)",track_0003,6,Other,0.0,0.0
inference,"D0C2.61(3T,DA,3W,G)",track_0004,0,Standing,0.267,1.788
inference,"D0C2.61(3T,DA,3W,G)",track_0004,1,Lying,6.132,41.0634
inference,"D0C2.61(3T,DA,3W,G)",track_0004,2,Foraging,0.0,0.0
