dataset,from_label,from_behavior,to_label,to_behavior,count,probability
inference,0,Standing,2,Foraging,6,0.1579
inference,0,Standing,5,Grooming,9,0.2368
inference,0,Standing,6,Other,23,0.6053
inference,1,Lying,4,Ruminating,2,0.3333
inference,1,Lying,5,Grooming,1,0.1667
inference,1,Lying,6,Other,3,0.5
inference,2,Foraging,0,Standing,7,0.1944
inference,2,Foraging,2,Foraging,1,0.0278
inference,2,Foraging,5,Grooming,14,0.3889
inference,2,Foraging,6,Other,14,0.3889
inference,4,Ruminating,1,Lying,1,0.3333
inference,4,Ruminating,6,Other,2,0.6667
inference,5,Grooming,0,Standing,10,0.2174
inference,5,Grooming,2,Foraging,7,0.1522
inference,5,Grooming,5,Grooming,1,0.0217
inference,5,Grooming,6,Other,28,0.6087
inference,6,Other,0,Standing,21,0.28
inference,6,Other,1,Lying,4,0.0533
inference,6,Other,2,Foraging,18,0.24
inference,6,Other,4,Ruminating,1,0.0133
inference,6,Other,5,Grooming,25,0.3333
inference,6,Other,6,Other,6,0.08
