dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.68(GrW,2RE)",track_0001,0,Standing,2.666,11.6267
inference,"D0C2.68(GrW,2RE)",track_0001,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0001,2,Foraging,5.065,22.089
inference,"D0C2.68(GrW,2RE)",track_0001,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0001,5,Grooming,13.865,60.4666
inference,"D0C2.68(GrW,2RE)",track_0001,6,Other,1.334,5.8177
inference,"D0C2.68(GrW,2RE)",track_0002,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0002,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0002,2,Foraging,0.533,50.0
inference,"D0C2.68(GrW,2RE)",track_0002,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0002,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0002,6,Other,0.533,50.0
inference,"D0C2.68(GrW,2RE)",track_0003,0,Standing,0.533,11.1042
inference,"D0C2.68(GrW,2RE)",track_0003,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0003,2,Foraging,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0003,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0003,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0003,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0003,6,Other,4.267,88.8958
inference,"D0C2.68(GrW,2RE)",track_0006,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,2,Foraging,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0006,6,Other,1.333,100.0
inference,"D0C2.68(GrW,2RE)",track_0007,0,Standing,1.867,46.675
inference,"D0C2.68(GrW,2RE)",track_0007,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0007,2,Foraging,2.133,53.325
inference,"D0C2.68(GrW,2RE)",track_0007,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0007,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0007,5,Grooming,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0007,6,Other,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0009,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0009,1,Lying,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0009,2,Foraging,1.6,54.5517
inference,"D0C2.68(GrW,2RE)",track_0009,3,Drinking,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0009,4,Ruminating,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0009,5,Grooming,0.8,27.2758
inference,"D0C2.68(GrW,2RE)",track_0009,6,Other,0.533,18.1725
inference,"D0C2.68(GrW,2RE)",track_0010,0,Standing,0.0,0.0
inference,"D0C2.68(GrW,2RE)",track_0010,1,Lying,0.0,0.0
