dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D0C2.68(GrW,2RE)",track_0001,0,Standing,11.6267,0.0,11.6267,False
inference,"D0C2.68(GrW,2RE)",track_0002,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0003,0,Standing,11.1042,0.0,11.1042,False
inference,"D0C2.68(GrW,2RE)",track_0006,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,0,Standing,46.675,0.0,46.675,True
inference,"D0C2.68(GrW,2RE)",track_0009,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0010,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0015,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0018,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0019,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0022,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0023,0,Standing,59.32,0.0,59.32,True
inference,"D0C2.68(GrW,2RE)",track_0027,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0032,0,Standing,28.5638,0.0,28.5638,True
inference,"D0C2.68(GrW,2RE)",track_0035,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0037,0,Standing,33.375,0.0,33.375,True
inference,"D0C2.68(GrW,2RE)",track_0038,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0039,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0040,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,0,Standing,12.5117,0.0,12.5117,False
inference,"D0C2.68(GrW,2RE)",track_0042,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,0,Standing,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0002,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0003,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0006,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0009,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0010,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0015,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0018,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0019,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0022,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0023,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0027,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0032,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0035,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0037,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0038,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0039,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0040,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0042,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,1,Lying,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,2,Foraging,22.089,0.0,22.089,False
inference,"D0C2.68(GrW,2RE)",track_0002,2,Foraging,50.0,0.0,50.0,True
inference,"D0C2.68(GrW,2RE)",track_0003,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0006,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,2,Foraging,53.325,0.0,53.325,True
inference,"D0C2.68(GrW,2RE)",track_0009,2,Foraging,54.5517,0.0,54.5517,True
inference,"D0C2.68(GrW,2RE)",track_0010,2,Foraging,19.9887,0.0,19.9887,False
inference,"D0C2.68(GrW,2RE)",track_0015,2,Foraging,11.6203,0.0,11.6203,False
inference,"D0C2.68(GrW,2RE)",track_0018,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0019,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,2,Foraging,16.9803,0.0,16.9803,False
inference,"D0C2.68(GrW,2RE)",track_0022,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0023,2,Foraging,28.8147,0.0,28.8147,False
inference,"D0C2.68(GrW,2RE)",track_0027,2,Foraging,50.0,0.0,50.0,True
inference,"D0C2.68(GrW,2RE)",track_0032,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0035,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0037,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0038,2,Foraging,28.5638,0.0,28.5638,False
inference,"D0C2.68(GrW,2RE)",track_0039,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0040,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0042,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,2,Foraging,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0002,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0003,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0006,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0009,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0010,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0015,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0018,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0019,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0022,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0023,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0027,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0032,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0035,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0037,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0038,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0039,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0040,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0042,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,3,Drinking,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0002,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0003,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0006,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0009,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0010,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0015,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0018,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0019,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0022,4,Ruminating,59.4648,0.0,59.4648,False
inference,"D0C2.68(GrW,2RE)",track_0023,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0027,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0032,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0035,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0037,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0038,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0039,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0040,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0042,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,4,Ruminating,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,5,Grooming,60.4666,0.0,60.4666,True
inference,"D0C2.68(GrW,2RE)",track_0002,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0003,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0006,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0007,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0009,5,Grooming,27.2758,0.0,27.2758,True
inference,"D0C2.68(GrW,2RE)",track_0010,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0015,5,Grooming,17.4457,0.0,17.4457,False
inference,"D0C2.68(GrW,2RE)",track_0018,5,Grooming,4.3531,0.0,4.3531,False
inference,"D0C2.68(GrW,2RE)",track_0019,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0020,5,Grooming,3.7781,0.0,3.7781,False
inference,"D0C2.68(GrW,2RE)",track_0022,5,Grooming,2.7013,0.0,2.7013,False
inference,"D0C2.68(GrW,2RE)",track_0023,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0027,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0032,5,Grooming,28.5638,0.0,28.5638,True
inference,"D0C2.68(GrW,2RE)",track_0035,5,Grooming,9.5179,0.0,9.5179,False
inference,"D0C2.68(GrW,2RE)",track_0037,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0038,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0039,5,Grooming,50.0,0.0,50.0,True
inference,"D0C2.68(GrW,2RE)",track_0040,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0041,5,Grooming,74.9766,0.0,74.9766,True
inference,"D0C2.68(GrW,2RE)",track_0042,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0044,5,Grooming,0.0,0.0,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0001,6,Other,5.8177,70.934,65.1163,False
inference,"D0C2.68(GrW,2RE)",track_0002,6,Other,50.0,70.934,20.934,False
inference,"D0C2.68(GrW,2RE)",track_0003,6,Other,88.8958,70.934,17.9618,False
inference,"D0C2.68(GrW,2RE)",track_0006,6,Other,100.0,70.934,29.066,False
inference,"D0C2.68(GrW,2RE)",track_0007,6,Other,0.0,70.934,70.934,False
inference,"D0C2.68(GrW,2RE)",track_0009,6,Other,18.1725,70.934,52.7615,False
inference,"D0C2.68(GrW,2RE)",track_0010,6,Other,80.0113,70.934,9.0773,False
inference,"D0C2.68(GrW,2RE)",track_0015,6,Other,70.934,70.934,0.0,False
inference,"D0C2.68(GrW,2RE)",track_0018,6,Other,95.6469,70.934,24.7129,False
inference,"D0C2.68(GrW,2RE)",track_0019,6,Other,100.0,70.934,29.066,False
inference,"D0C2.68(GrW,2RE)",track_0020,6,Other,79.2415,70.934,8.3075,False
inference,"D0C2.68(GrW,2RE)",track_0022,6,Other,37.8339,70.934,33.1001,False
inference,"D0C2.68(GrW,2RE)",track_0023,6,Other,11.8653,70.934,59.0687,False
inference,"D0C2.68(GrW,2RE)",track_0027,6,Other,50.0,70.934,20.934,False
inference,"D0C2.68(GrW,2RE)",track_0032,6,Other,42.8725,70.934,28.0615,False
inference,"D0C2.68(GrW,2RE)",track_0035,6,Other,90.4821,70.934,19.5481,False
inference,"D0C2.68(GrW,2RE)",track_0037,6,Other,66.625,70.934,4.309,False
inference,"D0C2.68(GrW,2RE)",track_0038,6,Other,71.4362,70.934,0.5022,False
inference,"D0C2.68(GrW,2RE)",track_0039,6,Other,50.0,70.934,20.934,False
inference,"D0C2.68(GrW,2RE)",track_0040,6,Other,100.0,70.934,29.066,False
inference,"D0C2.68(GrW,2RE)",track_0041,6,Other,12.5117,70.934,58.4223,False
inference,"D0C2.68(GrW,2RE)",track_0042,6,Other,100.0,70.934,29.066,False
inference,"D0C2.68(GrW,2RE)",track_0044,6,Other,100.0,70.934,29.066,False
