track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0001,2,Foraging,0,24,0.0,0.8,0.8
track_0001,0,Standing,24,40,0.8,1.333,0.533
track_0001,5,Grooming,40,56,1.333,1.867,0.533
track_0001,6,Other,56,64,1.867,2.133,0.267
track_0001,2,Foraging,64,80,2.133,2.667,0.533
track_0001,5,Grooming,80,144,2.667,4.8,2.133
track_0001,0,Standing,144,160,4.8,5.334,0.533
track_0001,5,Grooming,160,176,5.334,5.867,0.533
track_0001,2,Foraging,176,200,5.867,6.667,0.8
track_0001,0,Standing,200,208,6.667,6.934,0.267
track_0001,5,Grooming,208,240,6.934,8.0,1.067
track_0001,2,Foraging,240,256,8.0,8.534,0.533
track_0001,5,Grooming,256,368,8.534,12.267,3.733
track_0001,6,Other,368,376,12.267,12.534,0.267
track_0001,5,Grooming,376,416,12.534,13.867,1.333
track_0001,0,Standing,416,432,13.867,14.4,0.533
track_0001,5,Grooming,528,592,17.601,19.734,2.133
track_0001,6,Other,592,600,19.734,20.001,0.267
track_0001,0,Standing,600,624,20.001,20.801,0.8
track_0001,5,Grooming,624,672,20.801,22.401,1.6
track_0001,2,Foraging,672,688,22.401,22.934,0.533
track_0001,5,Grooming,688,704,22.934,23.467,0.533
track_0001,2,Foraging,704,720,23.467,24.001,0.533
track_0001,5,Grooming,720,728,24.001,24.267,0.267
track_0001,2,Foraging,728,768,24.267,25.601,1.333
track_0001,6,Other,768,784,25.601,26.134,0.533
