dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,D1C4.14.11(2WG),track_0001,0,Standing,0.533,4.1641
inference,D1C4.14.11(2WG),track_0001,1,Lying,0.0,0.0
inference,D1C4.14.11(2WG),track_0001,2,Foraging,2.666,20.8281
inference,D1C4.14.11(2WG),track_0001,3,Drinking,0.0,0.0
inference,D1C4.14.11(2WG),track_0001,4,Ruminating,0.0,0.0
inference,D1C4.14.11(2WG),track_0001,5,Grooming,5.067,39.5859
inference,D1C4.14.11(2WG),track_0001,6,Other,4.534,35.4219
inference,D1C4.14.11(2WG),track_0002,0,Standing,1.6,11.1111
inference,D1C4.14.11(2WG),track_0002,1,Lying,0.0,0.0
inference,D1C4.14.11(2WG),track_0002,2,Foraging,9.6,66.6667
inference,D1C4.14.11(2WG),track_0002,3,Drinking,0.0,0.0
inference,D1C4.14.11(2WG),track_0002,4,Ruminating,0.267,1.8542
inference,D1C4.14.11(2WG),track_0002,5,Grooming,0.8,5.5556
inference,D1C4.14.11(2WG),track_0002,6,Other,2.133,14.8125
inference,D1C4.14.11(2WG),track_0006,0,Standing,0.0,0.0
inference,D1C4.14.11(2WG),track_0006,1,Lying,0.0,0.0
inference,D1C4.14.11(2WG),track_0006,2,Foraging,0.0,0.0
inference,D1C4.14.11(2WG),track_0006,3,Drinking,0.0,0.0
inference,D1C4.14.11(2WG),track_0006,4,Ruminating,0.0,0.0
inference,D1C4.14.11(2WG),track_0006,5,Grooming,0.267,33.375
inference,D1C4.14.11(2WG),track_0006,6,Other,0.533,66.625
