dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,D1C4.14.11(2WG),track_0001,0,Standing,4.1641,4.1641,0.0,False
inference,D1C4.14.11(2WG),track_0002,0,Standing,11.1111,4.1641,6.947,False
inference,D1C4.14.11(2WG),track_0006,0,Standing,0.0,4.1641,4.1641,False
inference,D1C4.14.11(2WG),track_0001,1,Lying,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0002,1,Lying,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0006,1,Lying,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0001,2,Foraging,20.8281,20.8281,0.0,False
inference,D1C4.14.11(2WG),track_0002,2,Foraging,66.6667,20.8281,45.8386,False
inference,D1C4.14.11(2WG),track_0006,2,Foraging,0.0,20.8281,20.8281,False
inference,D1C4.14.11(2WG),track_0001,3,Drinking,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0002,3,Drinking,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0006,3,Drinking,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0001,4,Ruminating,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0002,4,Ruminating,1.8542,0.0,1.8542,True
inference,D1C4.14.11(2WG),track_0006,4,Ruminating,0.0,0.0,0.0,False
inference,D1C4.14.11(2WG),track_0001,5,Grooming,39.5859,33.375,6.2109,False
inference,D1C4.14.11(2WG),track_0002,5,Grooming,5.5556,33.375,27.8194,True
inference,D1C4.14.11(2WG),track_0006,5,Grooming,33.375,33.375,0.0,False
inference,D1C4.14.11(2WG),track_0001,6,Other,35.4219,35.4219,0.0,False
inference,D1C4.14.11(2WG),track_0002,6,Other,14.8125,35.4219,20.6094,False
inference,D1C4.14.11(2WG),track_0006,6,Other,66.625,35.4219,31.2031,False
