track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0001,5,Grooming,0,8,0.0,0.267,0.267
track_0001,6,Other,8,24,0.267,0.8,0.533
track_0001,5,Grooming,24,64,0.8,2.133,1.333
track_0001,6,Other,64,72,2.133,2.4,0.267
track_0001,5,Grooming,72,144,2.4,4.8,2.4
track_0001,6,Other,144,176,4.8,5.867,1.067
track_0001,2,Foraging,176,192,5.867,6.4,0.533
track_0001,5,Grooming,192,208,6.4,6.934,0.533
track_0001,6,Other,208,232,6.934,7.734,0.8
track_0001,5,Grooming,232,240,7.734,8.0,0.267
track_0001,2,Foraging,240,304,8.0,10.134,2.133
track_0001,5,Grooming,344,352,11.467,11.734,0.267
track_0001,6,Other,352,376,11.734,12.534,0.8
track_0001,6,Other,384,416,12.8,13.867,1.067
track_0001,0,Standing,456,472,15.201,15.734,0.533
