dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D1C4.15.11(W,G)",track_0001,0,Standing,1.067,6.4538
inference,"D1C4.15.11(W,G)",track_0001,1,Lying,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0001,2,Foraging,14.932,90.3163
inference,"D1C4.15.11(W,G)",track_0001,3,Drinking,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0001,4,Ruminating,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0001,5,Grooming,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0001,6,Other,0.534,3.2299
inference,"D1C4.15.11(W,G)",track_0002,0,Standing,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0002,1,Lying,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0002,2,Foraging,3.2,74.9941
inference,"D1C4.15.11(W,G)",track_0002,3,Drinking,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0002,4,Ruminating,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0002,5,Grooming,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0002,6,Other,1.067,25.0059
inference,"D1C4.15.11(W,G)",track_0007,0,Standing,1.067,30.767
inference,"D1C4.15.11(W,G)",track_0007,1,Lying,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0007,2,Foraging,1.6,46.1361
inference,"D1C4.15.11(W,G)",track_0007,3,Drinking,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0007,4,Ruminating,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0007,5,Grooming,0.0,0.0
inference,"D1C4.15.11(W,G)",track_0007,6,Other,0.801,23.0969
