dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D1C4.15.11(W,G)",track_0001,0,Standing,6.4538,6.4538,0.0,False
inference,"D1C4.15.11(W,G)",track_0002,0,Standing,0.0,6.4538,6.4538,False
inference,"D1C4.15.11(W,G)",track_0007,0,Standing,30.767,6.4538,24.3132,True
inference,"D1C4.15.11(W,G)",track_0001,1,Lying,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0002,1,Lying,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0007,1,Lying,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0001,2,Foraging,90.3163,74.9941,15.3222,False
inference,"D1C4.15.11(W,G)",track_0002,2,Foraging,74.9941,74.9941,0.0,False
inference,"D1C4.15.11(W,G)",track_0007,2,Foraging,46.1361,74.9941,28.858,False
inference,"D1C4.15.11(W,G)",track_0001,3,Drinking,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0002,3,Drinking,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0007,3,Drinking,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0001,4,Ruminating,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0002,4,Ruminating,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0007,4,Ruminating,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0001,5,Grooming,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0002,5,Grooming,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0007,5,Grooming,0.0,0.0,0.0,False
inference,"D1C4.15.11(W,G)",track_0001,6,Other,3.2299,23.0969,19.867,True
inference,"D1C4.15.11(W,G)",track_0002,6,Other,25.0059,23.0969,1.909,False
inference,"D1C4.15.11(W,G)",track_0007,6,Other,23.0969,23.0969,0.0,False
