dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D1C4.5.11(R,W)",track_0001,0,Standing,0.0,0.9816,0.9816,False
inference,"D1C4.5.11(R,W)",track_0002,0,Standing,1.9632,0.9816,0.9816,False
inference,"D1C4.5.11(R,W)",track_0001,1,Lying,0.0,0.0,0.0,False
inference,"D1C4.5.11(R,W)",track_0002,1,Lying,0.0,0.0,0.0,False
inference,"D1C4.5.11(R,W)",track_0001,2,Foraging,100.0,74.5074,25.4926,False
inference,"D1C4.5.11(R,W)",track_0002,2,Foraging,49.0147,74.5074,25.4927,False
inference,"D1C4.5.11(R,W)",track_0001,3,Drinking,0.0,0.0,0.0,False
inference,"D1C4.5.11(R,W)",track_0002,3,Drinking,0.0,0.0,0.0,False
inference,"D1C4.5.11(R,W)",track_0001,4,Ruminating,0.0,1.9595,1.9596,False
inference,"D1C4.5.11(R,W)",track_0002,4,Ruminating,3.9191,1.9595,1.9596,False
inference,"D1C4.5.11(R,W)",track_0001,5,Grooming,0.0,19.6103,19.6103,False
inference,"D1C4.5.11(R,W)",track_0002,5,Grooming,39.2206,19.6103,19.6103,False
inference,"D1C4.5.11(R,W)",track_0001,6,Other,0.0,2.9412,2.9412,False
inference,"D1C4.5.11(R,W)",track_0002,6,Other,5.8824,2.9412,2.9412,False
