track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0002,6,Other,24,32,0.8,1.067,0.267
track_0002,2,Foraging,32,48,1.067,1.6,0.533
track_0002,5,Grooming,48,56,1.6,1.867,0.267
track_0002,2,Foraging,64,72,2.133,2.4,0.267
track_0002,5,Grooming,72,80,2.4,2.667,0.267
track_0002,2,Foraging,80,120,2.667,4.0,1.333
track_0002,5,Grooming,120,136,4.0,4.533,0.533
track_0002,2,Foraging,136,168,4.533,5.6,1.067
track_0002,5,Grooming,168,192,5.6,6.4,0.8
track_0002,2,Foraging,192,216,6.4,7.2,0.8
track_0002,6,Other,216,232,7.2,7.733,0.533
track_0002,0,Standing,232,240,7.733,8.0,0.267
track_0002,5,Grooming,240,272,8.0,9.067,1.067
track_0002,2,Foraging,272,288,9.067,9.6,0.533
track_0002,5,Grooming,288,336,9.6,11.2,1.6
track_0002,2,Foraging,336,368,11.2,12.267,1.067
track_0002,5,Grooming,368,384,12.267,12.8,0.533
track_0002,4,Ruminating,384,400,12.8,13.333,0.533
track_0002,2,Foraging,400,416,13.333,13.867,0.533
track_0002,5,Grooming,416,424,13.867,14.133,0.267
track_0002,2,Foraging,424,440,14.133,14.667,0.533
