dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,0,Standing,0.267,6.675
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,1,Lying,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,2,Foraging,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,3,Drinking,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,4,Ruminating,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,5,Grooming,0.267,6.675
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,6,Other,3.466,86.65
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,0,Standing,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,1,Lying,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,2,Foraging,2.666,33.3292
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,3,Drinking,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,4,Ruminating,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,5,Grooming,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,6,Other,5.333,66.6708
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,0,Standing,0.533,11.7582
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,1,Lying,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,2,Foraging,1.6,35.2967
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,3,Drinking,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,4,Ruminating,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,5,Grooming,0.0,0.0
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,6,Other,2.4,52.9451
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0005,0,Standing,0.0,0.0
