dataset,video_id,track_id,label_id,behavior,pct_time,baseline_median,deviation,is_outlier
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,0,Standing,6.675,0.0,6.675,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,0,Standing,11.7582,0.0,11.7582,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0005,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0009,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0015,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0020,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0024,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0025,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0027,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0036,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0041,0,Standing,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0005,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0009,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0015,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0020,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0024,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0025,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0027,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0036,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0041,1,Lying,0.0,0.0,0.0,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0002,2,Foraging,0.0,21.5839,21.5839,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0003,2,Foraging,33.3292,21.5839,11.7453,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0004,2,Foraging,35.2967,21.5839,13.7128,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0005,2,Foraging,48.4773,21.5839,26.8934,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0009,2,Foraging,24.9922,21.5839,3.4083,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0015,2,Foraging,18.1756,21.5839,3.4083,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0020,2,Foraging,100.0,21.5839,78.4161,True
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0024,2,Foraging,0.0,21.5839,21.5839,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0025,2,Foraging,0.0,21.5839,21.5839,False
inference,"D3C3.17(Gr,G,I,S,2Tr).AVI-",track_0027,2,Foraging,0.0,21.5839,21.5839,False
