video,file_size_mb,frame_count,fps,duration_s,ingest_s,detect_s,track_s,extract_s,classify_s,analyze_s,render_s,total_s
"D0C2.01(GrS,1LD,1RE).avi",94.23,476,30.0,15.9,0.0,36.48,0.33,215.09,17.84,0.08,11.88,281.7
"D0C2.22(I,LD,2HF).avi",52.72,277,30.0,9.2,0.0,24.36,0.18,53.69,6.57,0.04,5.66,90.5
"D0C2.52(V,3G,3HF).avi",132.56,681,29.999,22.7,0.0,53.59,0.56,447.81,42.42,0.14,23.59,568.12
"D0C2.61(3T,DA,3W,G).avi",173.0,908,29.999,30.3,0.0,69.77,0.66,493.83,47.14,0.17,28.03,639.61
"D0C2.68(GrW,2RE).avi",150.53,788,29.999,26.3,0.0,60.81,0.51,351.92,34.99,0.13,21.57,469.92
D1C4.14.11(2WG).avi,100.53,479,29.999,16.0,0.0,34.42,0.16,72.15,7.63,0.03,7.42,121.81
"D1C4.15.11(W,G).avi",127.26,618,30.0,20.6,0.01,40.84,0.16,61.44,8.45,0.03,8.52,119.45
"D1C4.5.11(R,W).avi",91.08,446,30.0,14.9,0.0,31.09,0.15,37.19,4.66,0.02,5.76,78.88
"D3C3.17(Gr,G,I,S,2Tr).AVI-.avi",114.02,573,30.0,19.1,0.0,42.41,0.36,121.15,11.7,0.05,11.36,187.03
"D0C1.02(Gr,G,DHF).avi",177.27,848,29.999,28.3,0.0,69.94,0.63,352.89,32.79,0.12,24.37,480.75
"D0C1.03(1DG,DHF).avi",240.19,1219,29.999,40.6,0.0,85.23,0.68,266.87,25.31,0.09,25.25,403.45
"D0C1.03(1G,1W,DHF).avi",53.11,274,30.0,9.1,0.01,22.31,0.16,73.96,8.14,0.04,5.92,110.54
"D0C1.07(LL,D,Gr,G).avi",291.41,1525,29.999,50.8,0.0,113.24,1.1,784.12,70.97,0.22,41.76,1011.41
D0C1.16(DGrG).avi,103.07,501,29.999,16.7,0.01,38.41,0.29,227.36,21.26,0.07,13.11,300.52
