video_id,dataset,n_frames,n_frames_with_dets,n_frames_with_masks,total_detections,total_masks,avg_masks_per_frame,avg_mask_area_px,coverage_rate,processing_time_s
101,cbvd5,6,6,6,28,28,4.67,30105.8,1.0,3.19
102,cbvd5,6,6,6,34,34,5.67,29884.9,1.0,2.78
103,cbvd5,6,6,6,28,28,4.67,25169.0,1.0,2.75
104,cbvd5,6,6,6,36,36,6.0,27580.2,1.0,2.97
105,cbvd5,6,6,6,35,35,5.83,20003.7,1.0,2.94
106,cbvd5,6,6,6,37,37,6.17,9483.3,1.0,2.94
107,cbvd5,6,6,6,16,16,2.67,20974.7,1.0,2.76
108,cbvd5,6,6,6,12,12,2.0,13682.5,1.0,2.76
109,cbvd5,6,4,4,8,8,1.33,9817.5,1.0,1.88
11,cbvd5,6,6,6,28,28,4.67,9560.4,1.0,2.88
110,cbvd5,6,6,6,15,15,2.5,7914.3,1.0,2.86
111,cbvd5,6,6,6,49,49,8.17,19239.5,1.0,3.05
112,cbvd5,6,6,6,52,52,8.67,16419.4,1.0,3.09
113,cbvd5,6,6,6,28,28,4.67,10726.3,1.0,2.99
114,cbvd5,6,6,6,30,30,5.0,8380.3,1.0,2.84
115,cbvd5,6,6,6,36,36,6.0,7614.2,1.0,2.91
116,cbvd5,6,6,6,36,36,6.0,87901.9,1.0,2.91
117,cbvd5,6,3,3,3,3,0.5,3719.0,1.0,1.36
118,cbvd5,6,6,6,41,41,6.83,30199.1,1.0,2.93
119,cbvd5,6,6,6,44,44,7.33,29337.7,1.0,3.04
12,cbvd5,6,6,6,30,30,5.0,35081.6,1.0,2.97
120,cbvd5,6,6,6,23,23,3.83,30845.1,1.0,2.86
121,cbvd5,6,6,6,18,18,3.0,13201.7,1.0,2.75
122,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
123,cbvd5,6,4,4,10,10,1.67,16835.8,1.0,1.84
124,cbvd5,6,6,6,9,9,1.5,24680.6,1.0,2.67
125,cbvd5,6,6,6,35,35,5.83,36286.1,1.0,2.9
126,cbvd5,6,6,6,37,37,6.17,32774.1,1.0,3.01
127,cbvd5,6,6,6,30,30,5.0,26358.6,1.0,2.87
128,cbvd5,6,6,6,24,24,4.0,26060.2,1.0,2.81
129,cbvd5,6,6,6,33,33,5.5,8688.5,1.0,2.91
13,cbvd5,6,6,6,39,39,6.5,14216.7,1.0,2.96
130,cbvd5,6,6,6,33,33,5.5,11577.1,1.0,2.91
131,cbvd5,6,6,6,18,18,3.0,11332.6,1.0,2.76
132,cbvd5,6,6,6,23,23,3.83,11117.1,1.0,2.78
133,cbvd5,6,6,6,18,18,3.0,16904.8,1.0,2.74
134,cbvd5,6,6,6,47,47,7.83,24338.4,1.0,2.97
135,cbvd5,6,6,6,49,49,8.17,20901.9,1.0,2.97
136,cbvd5,6,6,6,45,45,7.5,10368.6,1.0,2.95
137,cbvd5,6,6,6,39,39,6.5,10682.2,1.0,2.91
138,cbvd5,6,6,6,34,34,5.67,12407.6,1.0,2.89
139,cbvd5,6,6,6,37,37,6.17,11696.7,1.0,2.93
14,cbvd5,6,6,6,42,42,7.0,13013.4,1.0,2.97
140,cbvd5,6,6,6,33,33,5.5,10431.9,1.0,2.87
141,cbvd5,6,4,4,4,4,0.67,19368.2,1.0,1.78
142,cbvd5,6,6,6,19,19,3.17,16020.6,1.0,2.76
143,cbvd5,6,6,6,51,51,8.5,20326.8,1.0,3.01
144,cbvd5,6,6,6,25,25,4.17,17005.5,1.0,2.85
145,cbvd5,6,6,6,46,46,7.67,15444.7,1.0,2.96
146,cbvd5,6,6,6,6,6,1.0,3389.0,1.0,2.63
147,cbvd5,6,6,6,26,26,4.33,27695.9,1.0,2.82
148,cbvd5,6,6,6,22,22,3.67,29045.6,1.0,2.79
149,cbvd5,6,6,6,13,13,2.17,1181.6,1.0,2.75
15,cbvd5,6,6,6,24,24,4.0,16638.0,1.0,2.85
150,cbvd5,6,2,2,2,2,0.33,1372.0,1.0,0.94
151,cbvd5,6,2,2,2,2,0.33,3246.5,1.0,0.93
152,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
153,cbvd5,6,2,2,2,2,0.33,506136.5,1.0,0.91
154,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
155,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
156,cbvd5,6,1,1,1,1,0.17,510808.0,1.0,0.47
157,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
158,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
159,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
16,cbvd5,6,6,6,12,12,2.0,11995.2,1.0,2.7
160,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
161,cbvd5,6,2,2,2,2,0.33,507479.5,1.0,0.91
162,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
163,cbvd5,6,2,2,2,2,0.33,507007.0,1.0,0.91
164,cbvd5,6,5,5,5,5,0.83,3182.8,1.0,2.21
165,cbvd5,6,1,1,1,1,0.17,3046.0,1.0,0.48
166,cbvd5,6,4,4,4,4,0.67,3518.5,1.0,1.79
167,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
168,cbvd5,6,3,3,4,4,0.67,10660.8,1.0,1.38
169,cbvd5,6,6,6,12,12,2.0,14646.1,1.0,2.7
17,cbvd5,6,5,5,5,5,0.83,16123.4,1.0,2.22
170,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
171,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.04
172,cbvd5,6,1,1,1,1,0.17,205623.0,1.0,0.47
173,cbvd5,6,6,6,28,28,4.67,14154.4,1.0,2.96
174,cbvd5,6,6,6,17,17,2.83,19188.7,1.0,2.86
175,cbvd5,6,6,6,12,12,2.0,22754.7,1.0,2.82
176,cbvd5,6,6,6,35,35,5.83,9917.9,1.0,3.04
177,cbvd5,6,6,6,31,31,5.17,15161.6,1.0,3.03
178,cbvd5,6,6,6,35,35,5.83,19302.3,1.0,3.11
179,cbvd5,6,6,6,44,44,7.33,19672.7,1.0,3.05
18,cbvd5,6,1,1,1,1,0.17,320272.0,1.0,0.5
180,cbvd5,6,6,6,45,45,7.5,14498.6,1.0,3.02
181,cbvd5,6,6,6,46,46,7.67,15092.5,1.0,3.07
182,cbvd5,6,6,6,34,34,5.67,20515.9,1.0,2.9
183,cbvd5,6,6,6,35,35,5.83,26375.5,1.0,2.89
184,cbvd5,6,6,6,28,28,4.67,13584.3,1.0,2.86
185,cbvd5,6,6,6,28,28,4.67,27475.5,1.0,2.97
186,cbvd5,6,6,6,41,41,6.83,9291.1,1.0,2.99
187,cbvd5,6,6,6,30,30,5.0,13430.9,1.0,2.95
188,cbvd5,6,6,6,42,42,7.0,11233.6,1.0,3.07
189,cbvd5,6,6,6,20,20,3.33,20188.2,1.0,2.86
19,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
190,cbvd5,6,6,6,23,23,3.83,13040.3,1.0,2.81
191,cbvd5,6,6,6,68,68,11.33,4452.4,1.0,3.17
192,cbvd5,6,6,6,33,33,5.5,10990.2,1.0,2.94
193,cbvd5,6,6,6,24,24,4.0,17186.2,1.0,2.91
194,cbvd5,6,4,4,4,4,0.67,3557.2,1.0,1.85
195,cbvd5,6,6,6,40,40,6.67,17693.8,1.0,3.0
196,cbvd5,6,6,6,97,97,16.17,5639.5,1.0,3.39
197,cbvd5,6,5,5,10,10,1.67,1006.3,1.0,2.34
198,cbvd5,6,6,6,38,38,6.33,12456.8,1.0,3.19
199,cbvd5,6,6,6,36,36,6.0,10399.3,1.0,3.41
2,cbvd5,6,6,6,37,37,6.17,8572.2,1.0,3.45
20,cbvd5,6,6,6,38,38,6.33,31736.5,1.0,3.43
200,cbvd5,6,6,6,47,47,7.83,28516.8,1.0,3.55
201,cbvd5,6,6,6,35,35,5.83,25314.1,1.0,3.6
202,cbvd5,6,6,6,29,29,4.83,18486.9,1.0,3.43
203,cbvd5,6,6,6,24,24,4.0,28126.9,1.0,3.37
204,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
205,cbvd5,6,3,3,3,3,0.5,30097.3,1.0,1.67
206,cbvd5,6,2,2,2,2,0.33,25319.0,1.0,1.12
207,cbvd5,6,6,6,11,11,1.83,30773.2,1.0,3.29
208,cbvd5,6,6,6,20,20,3.33,35025.6,1.0,3.37
209,cbvd5,6,4,4,8,8,1.33,35900.5,1.0,2.18
21,cbvd5,6,6,6,26,26,4.33,33316.2,1.0,3.44
210,cbvd5,6,6,6,13,13,2.17,37557.8,1.0,3.33
211,cbvd5,6,6,6,12,12,2.0,34843.9,1.0,3.35
212,cbvd5,6,6,6,24,24,4.0,11171.5,1.0,3.49
213,cbvd5,6,6,6,24,24,4.0,11867.3,1.0,3.46
214,cbvd5,6,6,6,23,23,3.83,10190.1,1.0,3.43
215,cbvd5,6,6,6,13,13,2.17,10509.7,1.0,3.31
216,cbvd5,6,3,3,3,3,0.5,905.3,1.0,1.65
217,cbvd5,6,6,6,47,47,7.83,18795.1,1.0,3.66
218,cbvd5,6,6,6,40,40,6.67,21725.5,1.0,3.64
219,cbvd5,6,6,6,50,50,8.33,14146.4,1.0,3.73
22,cbvd5,6,6,6,30,30,5.0,31674.5,1.0,3.52
220,cbvd5,6,6,6,79,79,13.17,10937.1,1.0,3.95
221,cbvd5,6,4,4,6,6,1.0,1153.8,1.0,2.21
222,cbvd5,6,6,6,37,37,6.17,26543.2,1.0,3.62
223,cbvd5,6,6,6,47,47,7.83,19141.3,1.0,3.74
224,cbvd5,6,6,6,58,58,9.67,17839.3,1.0,3.85
225,cbvd5,6,6,6,34,34,5.67,25149.6,1.0,3.55
226,cbvd5,6,6,6,58,58,9.67,22838.7,1.0,3.73
227,cbvd5,6,6,6,42,42,7.0,18631.8,1.0,3.57
228,cbvd5,6,6,6,24,24,4.0,15317.5,1.0,3.47
229,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
23,cbvd5,6,6,6,26,26,4.33,23824.8,1.0,3.36
230,cbvd5,6,6,6,11,11,1.83,27801.6,1.0,2.94
231,cbvd5,6,6,6,22,22,3.67,22378.0,1.0,2.96
232,cbvd5,6,6,6,44,44,7.33,32055.0,1.0,3.16
233,cbvd5,6,6,6,34,34,5.67,23028.6,1.0,3.1
234,cbvd5,6,6,6,17,17,2.83,16887.8,1.0,3.05
235,cbvd5,6,6,6,29,29,4.83,10219.7,1.0,3.11
237,cbvd5,6,6,6,22,22,3.67,10041.4,1.0,3.05
238,cbvd5,6,6,6,21,21,3.5,9564.1,1.0,3.02
239,cbvd5,6,6,6,26,26,4.33,11043.3,1.0,3.0
24,cbvd5,6,5,5,15,15,2.5,8117.5,1.0,2.46
240,cbvd5,6,6,6,16,16,2.67,9984.1,1.0,2.94
241,cbvd5,6,4,4,4,4,0.67,1157.5,1.0,1.93
242,cbvd5,6,6,6,25,25,4.17,27572.8,1.0,3.03
243,cbvd5,6,6,6,31,31,5.17,24463.9,1.0,3.1
244,cbvd5,6,6,6,43,43,7.17,19918.4,1.0,3.15
245,cbvd5,6,6,6,46,46,7.67,14334.6,1.0,3.18
246,cbvd5,6,6,6,38,38,6.33,10281.4,1.0,3.16
247,cbvd5,6,6,6,39,39,6.5,28858.3,1.0,3.16
248,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
249,cbvd5,6,6,6,57,57,9.5,25149.7,1.0,3.32
25,cbvd5,6,6,6,24,24,4.0,34266.0,1.0,2.98
250,cbvd5,6,6,6,54,54,9.0,27214.7,1.0,3.23
251,cbvd5,6,6,6,47,47,7.83,25802.9,1.0,3.2
252,cbvd5,6,6,6,18,18,3.0,16139.8,1.0,2.95
253,cbvd5,6,6,6,13,13,2.17,18876.3,1.0,2.89
254,cbvd5,6,5,5,7,7,1.17,22716.4,1.0,2.39
255,cbvd5,6,3,3,3,3,0.5,31503.7,1.0,1.46
256,cbvd5,6,6,6,30,30,5.0,28307.4,1.0,3.12
257,cbvd5,6,6,6,17,17,2.83,10264.9,1.0,2.95
258,cbvd5,6,6,6,16,16,2.67,11258.6,1.0,2.96
259,cbvd5,6,6,6,48,48,8.0,15653.5,1.0,3.05
26,cbvd5,6,6,6,25,25,4.17,11143.1,1.0,2.94
260,cbvd5,6,6,6,24,24,4.0,13378.8,1.0,2.98
261,cbvd5,6,6,6,24,24,4.0,14887.5,1.0,2.85
262,cbvd5,6,6,6,22,22,3.67,9861.1,1.0,2.89
263,cbvd5,6,6,6,30,30,5.0,12042.3,1.0,3.12
264,cbvd5,6,6,6,24,24,4.0,8492.5,1.0,3.08
265,cbvd5,6,6,6,10,10,1.67,21000.5,1.0,2.88
266,cbvd5,6,6,6,46,46,7.67,29407.9,1.0,3.15
267,cbvd5,6,6,6,40,40,6.67,22492.9,1.0,3.18
268,cbvd5,6,6,6,41,41,6.83,7261.4,1.0,3.09
269,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
27,cbvd5,6,6,6,44,44,7.33,33756.7,1.0,3.0
270,cbvd5,6,6,6,44,44,7.33,27165.7,1.0,3.11
271,cbvd5,6,6,6,23,23,3.83,969.5,1.0,2.91
272,cbvd5,6,6,6,49,49,8.17,20773.8,1.0,3.05
273,cbvd5,6,6,6,50,50,8.33,16585.9,1.0,3.12
274,cbvd5,6,6,6,36,36,6.0,30080.9,1.0,2.93
275,cbvd5,6,6,6,39,39,6.5,34632.5,1.0,3.03
276,cbvd5,6,6,6,30,30,5.0,33076.2,1.0,3.01
277,cbvd5,6,6,6,31,31,5.17,13934.0,1.0,3.12
278,cbvd5,6,6,6,23,23,3.83,14559.3,1.0,3.0
279,cbvd5,6,6,6,17,17,2.83,27072.5,1.0,2.95
28,cbvd5,6,6,6,40,40,6.67,26283.6,1.0,3.16
280,cbvd5,6,6,6,21,21,3.5,29996.2,1.0,3.01
281,cbvd5,6,6,6,18,18,3.0,27645.4,1.0,2.98
282,cbvd5,6,6,6,34,34,5.67,22427.6,1.0,2.97
283,cbvd5,6,6,6,24,24,4.0,11155.8,1.0,2.98
284,cbvd5,6,3,3,4,4,0.67,7786.0,1.0,1.46
285,cbvd5,6,6,6,19,19,3.17,7327.9,1.0,2.97
286,cbvd5,6,6,6,14,14,2.33,9014.7,1.0,2.95
287,cbvd5,6,6,6,50,50,8.33,9008.3,1.0,3.25
288,cbvd5,6,6,6,29,29,4.83,8240.3,1.0,3.08
289,cbvd5,6,6,6,29,29,4.83,18075.3,1.0,3.03
29,cbvd5,6,6,6,22,22,3.67,20027.1,1.0,2.79
290,cbvd5,6,6,6,10,10,1.67,13415.3,1.0,2.72
291,cbvd5,6,6,6,25,25,4.17,25643.7,1.0,2.85
292,cbvd5,6,6,6,53,53,8.83,18874.7,1.0,3.03
293,cbvd5,6,6,6,51,51,8.5,25279.9,1.0,3.04
294,cbvd5,6,6,6,76,76,12.67,9492.3,1.0,3.23
295,cbvd5,6,6,6,81,81,13.5,10903.7,1.0,3.34
296,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
297,cbvd5,6,6,6,23,23,3.83,20664.4,1.0,2.92
298,cbvd5,6,6,6,53,53,8.83,16281.1,1.0,3.14
299,cbvd5,6,6,6,37,37,6.17,22010.1,1.0,3.04
3,cbvd5,6,6,6,49,49,8.17,19123.6,1.0,3.26
30,cbvd5,6,6,6,40,40,6.67,30609.5,1.0,3.13
300,cbvd5,6,6,6,38,38,6.33,26866.9,1.0,3.0
301,cbvd5,6,6,6,44,44,7.33,27191.8,1.0,3.08
302,cbvd5,6,6,6,53,53,8.83,22768.2,1.0,3.08
303,cbvd5,6,6,6,36,36,6.0,12187.6,1.0,3.01
304,cbvd5,6,6,6,26,26,4.33,10882.0,1.0,2.93
305,cbvd5,6,6,6,23,23,3.83,12066.3,1.0,2.87
306,cbvd5,6,6,6,20,20,3.33,34536.3,1.0,2.82
307,cbvd5,6,6,6,48,48,8.0,23382.1,1.0,3.02
308,cbvd5,6,6,6,23,23,3.83,21645.1,1.0,2.9
31,cbvd5,6,6,6,33,33,5.5,21000.7,1.0,2.9
310,cbvd5,6,6,6,36,36,6.0,11161.8,1.0,2.92
311,cbvd5,6,6,6,17,17,2.83,34518.2,1.0,2.82
312,cbvd5,6,6,6,20,20,3.33,21111.8,1.0,2.86
313,cbvd5,6,6,6,15,15,2.5,11020.5,1.0,2.79
314,cbvd5,6,6,6,9,9,1.5,13476.2,1.0,2.7
315,cbvd5,6,0,0,0,0,0.0,0.0,0.0,0.05
316,cbvd5,6,6,6,54,54,9.0,24615.2,1.0,3.15
317,cbvd5,6,6,6,21,21,3.5,24161.8,1.0,2.83
318,cbvd5,6,6,6,32,32,5.33,20263.6,1.0,3.01
319,cbvd5,6,6,6,26,26,4.33,22866.8,1.0,2.92
32,cbvd5,6,6,6,19,19,3.17,22097.3,1.0,2.86
320,cbvd5,6,6,6,29,29,4.83,20749.2,1.0,2.95
321,cbvd5,6,6,6,15,15,2.5,13790.4,1.0,2.75
322,cbvd5,6,6,6,38,38,6.33,24053.9,1.0,2.92
323,cbvd5,6,6,6,21,21,3.5,27295.6,1.0,2.85
324,cbvd5,6,6,6,43,43,7.17,25984.1,1.0,3.0
325,cbvd5,6,6,6,27,27,4.5,32729.6,1.0,2.87
