video_id,dataset,n_frames,n_frames_with_dets,n_frames_with_masks,total_detections,total_masks,avg_masks_per_frame,avg_mask_area_px,coverage_rate,processing_time_s
1341_arm01_gopro4_20200323_041533_beh2_ani4_ins1_cut_00038,cvb,450,0,0,0,0,0.0,0.0,0.0,179.94
1342_arm01_gopro4_20200323_041533_beh2_ani5_ins1_cut_00010,cvb,450,2,10,2,10,0.02,248.5,5.0,182.66
1342_arm01_gopro4_20200323_041533_beh2_ani5_ins1_cut_00020,cvb,450,6,25,6,25,0.06,3224.5,4.1667,183.7
1342_arm01_gopro4_20200323_041533_beh2_ani5_ins1_cut_00022,cvb,450,46,170,46,170,0.38,3208.3,3.6957,186.8
1342_arm01_gopro4_20200323_041533_beh2_ani5_ins1_cut_00025,cvb,450,141,300,142,309,0.69,3211.9,2.1761,189.48
1342_arm01_gopro4_20200323_041533_beh2_ani5_ins1_cut_00030,cvb,450,20,51,20,51,0.11,3129.6,2.55,183.95
1343_arm01_gopro4_20200323_041533_beh2_ani6_ins1_cut_00010,cvb,450,0,0,0,0,0.0,0.0,0.0,183.05
1343_arm01_gopro4_20200323_041533_beh2_ani6_ins1_cut_00022,cvb,450,56,162,56,162,0.36,3226.6,2.8929,186.34
1344_arm01_gopro4_20200323_041533_beh4_ani8_ins1_cut_00002,cvb,450,450,450,2847,2865,6.37,3169.2,1.0063,212.94
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00001,cvb,450,450,450,3408,3495,7.77,2103.8,1.0255,217.76
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00011,cvb,450,0,0,0,0,0.0,0.0,0.0,183.04
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00029,cvb,450,91,216,91,216,0.48,3147.7,2.3736,187.99
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00031,cvb,450,19,75,19,75,0.17,3140.5,3.9474,185.11
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00032,cvb,450,11,30,11,30,0.07,3281.2,2.7273,183.81
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00033,cvb,450,3,28,3,28,0.06,3280.3,9.3333,183.74
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00034,cvb,450,366,401,718,772,1.72,857.9,1.0752,195.18
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00035,cvb,450,446,450,988,1065,2.37,987.5,1.0779,198.1
1345_arm01_gopro4_20200323_041533_beh2_ani8_ins1_cut_00038,cvb,450,1,10,1,10,0.02,3242.0,10.0,183.22
1346_arm01_gopro4_20200324_040135_beh5_ani1_ins1_cut_00007,cvb,450,450,450,2370,2400,5.33,14109.3,1.0127,209.44
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00005,cvb,450,450,450,2567,2535,5.63,21350.8,0.9875,210.09
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00008,cvb,450,450,450,3025,3075,6.83,19811.4,1.0165,214.44
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00009,cvb,450,450,450,3391,3405,7.57,17504.6,1.0041,217.21
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00013,cvb,450,450,450,2658,2685,5.97,16214.6,1.0102,211.39
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00021,cvb,450,450,450,2725,2625,5.83,11073.9,0.9633,210.92
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00032,cvb,450,450,450,3083,3030,6.73,6991.0,0.9828,214.3
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00033,cvb,450,450,450,3243,3240,7.2,5995.2,0.9991,215.89
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00034,cvb,450,450,450,2907,2925,6.5,6343.3,1.0062,213.34
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00035,cvb,450,450,450,3220,3150,7.0,6253.1,0.9783,215.14
1347_arm01_gopro4_20200324_040135_beh3_ani1_ins1_cut_00039,cvb,450,450,450,2940,3000,6.67,6532.9,1.0204,213.87
