video_id,eval_frames,total_gt,total_pred,tp,fp,fn,id_switches,mota,motp,idf1,precision,recall
0002_arm01_gopro1_20200322_222554_beh7_ani1_ins1_cut_1,15,120,165,70,95,50,2,-22.5,74.44,48.42,42.42,58.33
0004_arm01_gopro1_20200322_222554_beh1_ani2_ins1_cut_39,15,117,165,49,116,68,0,-57.26,71.09,34.75,29.7,41.88
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_1,15,90,75,63,12,27,0,56.67,74.48,76.36,84.0,70.0
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_2,15,98,75,75,0,23,0,76.53,81.16,86.71,100.0,76.53
0040_arm01_gopro1_20200322_233642_beh7_ani8_ins1_cut_4,15,30,90,30,60,0,0,-100.0,84.55,50.0,33.33,100.0
0047_arm01_gopro1_20200322_235424_beh7_ani1_ins1_cut_1,15,92,120,69,51,23,0,19.57,81.52,65.09,57.5,75.0
0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_2,15,32,60,32,28,0,0,12.5,78.73,69.57,53.33,100.0
0051_arm01_gopro1_20200322_235424_beh8_ani1_ins2_cut_3,15,90,75,54,21,36,2,34.44,75.26,64.24,72.0,60.0
0054_arm01_gopro1_20200322_235424_beh5_ani2_ins1_cut_2,15,77,60,36,24,41,0,15.58,81.67,52.55,60.0,46.75
0055_arm01_gopro1_20200322_235424_beh7_ani2_ins1_cut_1,15,90,90,56,34,34,0,24.44,85.74,62.22,62.22,62.22
0071_arm01_gopro1_20200322_235424_beh1_ani6_ins4_cut_16,15,90,90,61,29,29,2,33.33,67.25,64.44,67.78,67.78
0082_arm01_gopro1_20200323_001206_beh7_ani4_ins1_cut_1,15,79,75,31,44,48,3,-20.25,70.78,40.26,41.33,39.24
0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_2,15,96,105,70,35,26,0,36.46,79.1,69.65,66.67,72.92
0089_arm01_gopro1_20200323_002948_beh7_ani2_ins1_cut_4,15,30,105,30,75,0,0,-150.0,80.25,44.44,28.57,100.0
0098_arm01_gopro1_20200323_002948_beh7_ani3_ins1_cut_1,15,120,105,102,3,18,0,82.5,78.73,90.67,97.14,85.0
0098_arm01_gopro1_20200323_002948_beh7_ani3_ins1_cut_2,15,111,105,92,13,19,0,71.17,82.12,85.19,87.62,82.88
0104_arm01_gopro1_20200323_002948_beh1_ani4_ins1_cut_61,15,102,105,80,25,22,1,52.94,74.79,77.29,76.19,78.43
0113_arm01_gopro1_20200323_004730_beh7_ani1_ins1_cut_2,15,104,120,71,49,33,0,21.15,82.85,63.39,59.17,68.27
0132_arm01_gopro1_20200323_004730_beh8_ani2_ins1_cut_1,15,69,75,55,20,14,6,42.03,80.36,70.83,73.33,79.71
0135_arm01_gopro1_20200323_004730_beh1_ani3_ins2_cut_13,15,60,135,60,75,0,0,-25.0,77.61,61.54,44.44,100.0
0161_arm01_gopro1_20200323_012254_beh7_ani8_ins2_cut_1,15,60,105,47,58,13,0,-18.33,78.73,56.97,44.76,78.33
0178_arm01_gopro1_20200323_014036_beh7_ani2_ins1_cut_1,15,105,135,60,75,45,1,-15.24,83.19,50.0,44.44,57.14
0187_arm01_gopro1_20200323_014036_beh1_ani3_ins2_cut_24,15,81,105,73,32,8,0,50.62,85.46,78.49,69.52,90.12
0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_1,15,53,90,18,72,35,0,-101.89,87.8,25.17,20.0,33.96
0190_arm01_gopro1_20200323_014036_beh7_ani6_ins1_cut_2,15,36,135,27,108,9,0,-225.0,74.58,31.58,20.0,75.0
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_1,15,120,135,70,65,50,0,4.17,83.14,54.9,51.85,58.33
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_5,15,105,135,90,45,15,0,42.86,81.39,75.0,66.67,85.71
0196_arm01_gopro1_20200323_023342_beh7_ani2_ins1_cut_9,15,42,120,25,95,17,0,-166.67,76.16,30.86,20.83,59.52
0198_arm01_gopro1_20200323_023342_beh5_ani2_ins1_cut_1,15,120,165,117,48,3,0,57.5,76.3,82.11,70.91,97.5
0199_arm01_gopro1_20200323_023342_beh3_ani3_ins1_cut_1,15,90,105,63,42,27,0,23.33,83.38,64.62,60.0,70.0
0199_arm01_gopro1_20200323_023342_beh3_ani3_ins1_cut_9,15,75,105,59,46,16,0,17.33,88.62,65.56,56.19,78.67
0219_arm01_gopro1_20200323_023342_beh6_ani4_ins2_cut_3,15,60,135,60,75,0,0,-25.0,75.88,61.54,44.44,100.0
0224_arm01_gopro1_20200323_023342_beh7_ani6_ins1_cut_1,15,107,135,95,40,12,0,51.4,79.03,78.51,70.37,88.79
0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_15,15,105,90,75,15,30,0,57.14,82.77,76.92,83.33,71.43
0231_arm01_gopro1_20200323_023342_beh6_ani6_ins2_cut_24,15,90,75,45,30,45,0,16.67,82.93,54.55,60.0,50.0
0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_1,15,112,135,88,47,24,0,36.61,79.74,71.26,65.19,78.57
0233_arm01_gopro1_20200323_023342_beh7_ani8_ins1_cut_3,15,107,135,98,37,9,0,57.01,75.88,80.99,72.59,91.59
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_2,15,105,135,76,59,29,0,16.19,78.99,63.33,56.3,72.38
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_4,15,110,120,70,50,40,0,18.18,77.12,60.87,58.33,63.64
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_6,15,90,150,45,105,45,0,-66.67,80.05,37.5,30.0,50.0
0235_arm01_gopro1_20200323_023342_beh5_ani8_ins2_cut_8,15,109,135,94,41,15,0,48.62,79.52,77.05,69.63,86.24
